"Service","Relational Database Service($)","Tax($)","EC2-Other($)","OpenSearch Service($)","EC2-Instances($)","Support (Business)($)","ElastiCache($)","CloudWatch($)","Certificate Manager($)","Elastic File System($)","Elastic Load Balancing($)","Managed Streaming for Apache Kafka($)","VPC($)","Elastic Container Service for Kubernetes($)","CIS  Linux 2 Benchmark - Level 2($)","S3($)","EC2 Container Registry (ECR)($)","CloudTrail($)","Secrets Manager($)","Key Management Service($)","FSx($)","Inspector($)","DynamoDB($)","Cost Explorer($)","Lambda($)","SQS($)","SNS($)","CloudFront($)","Service Catalog($)","Athena($)","Glue($)","Fault Injection Simulator($)","Direct Connect($)","CloudWatch Events($)","SES($)","Simple Workflow Service($)","Glacier($)","Step Functions($)","Systems Manager($)","CloudShell($)","CodeArtifact($)","Migration Hub Refactor Spaces($)","X-Ray($)","Location Service($)","Refund($)","Total costs($)"
"2023-04-10","643.279988297","","307.285863643","364.2335552967","291.3775400924","","105.7298400391","100.6003014628","","15.6733501405","28.914892053","42.4630953609","17.0825207454","24.552","19.32","8.5848477315","0.3112097669","0","1.5199486008","0.78922065","","4.2333739841","0.07928064","","","0.00015438","0.0031469115","0.0028505967","","","0.00074307","","","0.00010695","","","0.00000194","0.0000004037","","","0.0000000394","","","","","1976.0378327954"
"2023-04-11","653.6176510573","","314.3991381713","364.2358144182","326.6308030893","","105.7298400393","107.3180453588","","15.7590411098","28.7610585512","42.4633742164","17.1248768209","24.552","20.24","8.6811484194","0.3143267745","0","1.4812244341","0.78797631","","3.2245622445","0.07928064","","","0.000135036","0.0019305814","0.0042247882","","","0.00063147","","","0.00021018","","","0.0000019257","0.0000003042","","","0.00000001","","","","","2035.4072959505"
"2023-04-12","644.9109759355","","321.887937472","364.2416060619","302.5069772239","","105.7298400396","104.0578365758","","16.2226613684","26.9600904309","42.463137236","21.1598341845","24.552","22.76","8.7507508856","0.3164441648","0","1.5330616008","0.78577779","","2.4475225591","0.07928064","","","0.00010044","0.0025971086","0.0023231953","","","0.00050871","","","0.00017484","","","0.0000019331","0.0000002704","","","0.000000002","","","","","2011.3714406682"
"2023-04-13","648.504625742","","324.3407781209","364.241737853","366.8327295438","","105.7298400396","106.5292868552","9.765","16.988522131","25.8131427062","42.463953735","19.1350420921","24.552","24.36","8.7944617462","0.3171629126","0","1.4919380341","0.78935457","","2.5170592492","0.07928064","","","0.000121272","0.0044450311","0.0162156099","","","0.00109833","","","0.00036177","","","0.0000017807","0.0000005334","","","","","","","","2093.268160298"
"2023-04-14","520.9576089342","","314.2597627023","364.255877919","277.9145352079","","105.7298400395","104.8969165199","","17.2279668612","25.9093269114","42.4654136798","31.5770931264","24.552","21.3","8.8719140736","0.3172518552","0","1.5243475008","0.7956795","","2.2146212844","0.07928064","","","0.000093744","0.0023988979","0.0025682058","","","0.00220224","","","0.00008928","","","0.000001877","0.0000009479","","","","","","","","1864.8567919482"
"2023-04-15","520.7277876632","","313.0624477851","364.2448805017","281.7318308433","","105.7298400492","104.0738251398","","17.3284332846","25.7858476999","42.4654138237","18.6014021315","24.552","21.02","8.94495348","0.3172518552","0","1.5148522008","0.7972698","","2.6050358968","0.07928064","","","0.000026784","0.0027325291","0.0032184898","","","0.00211854","","","0.00008928","","","0.0000018975","0.000000946","","","","","","","","1853.5905412612"
"2023-04-16","509.1908828059","","308.4984992438","364.2490840206","234.1489784525","","105.7298400427","112.802608501","","17.4318692309","26.2194206523","42.4645948816","17.006695755","24.552","18.94","8.9912879996","0.3172518552","0","1.4398709508","0.79582458","","1.9888752462","0.07928064","","","0.000020088","0.0003625012","0.0001483795","","","0.00213156","","","0.00002604","","","0.0000018753","0.0000009952","","","","","","","","1794.8495562973"
"2023-04-17","553.9964589902","","318.5112573835","364.256371525","326.4025020078","","105.7298400399","114.5655532593","","17.5246778611","26.3168488601","42.4671835885","17.0070733769","24.552","21.66","9.0589590747","0.3182087652","0","1.5416269008","0.79462488","","0.5125504025","0.079280832","","","0.000013764","0.0018227799","0.0094940366","","","0.00206739","","","0.00003162","","","0.0000018102","0.0000008982","","","","","","","","1945.3084500464"
"2023-04-18","521.671865488","","312.5175391627","364.2704807695","299.3328396328","","105.7298400399","112.5927509979","","17.6077307356","26.2918110171","42.4671084669","17.0006426669","24.552","20.32","9.1271037638","0.3194727065","0","1.5326059008","0.79511592","","","0.079280832","","","0.000006696","0.0019360964","0.021447087","","","0.00194463","","","","","","0.0000019255","0.0000008804","","","","","","","","1876.2335254157"
"2023-04-19","521.6195724104","","314.278009741","364.2812262544","278.3665903526","","105.7298400478","118.026162559","","17.6917047301","26.3220807212","42.4663808995","17.8405689083","24.552","20.32","9.2004239345","0.3199396942","0","1.4814848341","0.79560138","","","0.079280832","","","0.000007068","0.0021274175","0.0192525307","","","0.00195579","","","","","","0.0000018979","0.0000009132","","","","","","","","1863.3942129164"
