,date-time,EC2-Instances($),S3($),Relational Database Service($),EC2-Other($),Glue($),DocumentDB (with MongoDB compatibility)($),Elastic MapReduce($),CloudWatch($),VPC($),OpenSearch Service($),Redshift($),Managed Streaming for Apache Kafka($),SageMaker($),ElastiCache($),DMS($),Elastic Load Balancing($),QuickSight($),Elastic File System($),SNS($),Lambda($),Elastic Container Service for Kubernetes($),Rekognition($),Hardened Red Hat Enterprise 7 (RHEL 7)($),Step Functions($),Glacier($),DynamoDB($),Backup($),AppFlow($),Route 53($),SQS($),EC2 Container Registry (ECR)($),Key Management Service($),API Gateway($),CloudFront($),Athena($),Secrets Manager($),CloudWatch Events($),Cognito($),X-Ray($),Cost Explorer($),Service Catalog($),Systems Manager($),SES($),Simple Workflow Service($),Direct Connect($),CloudTrail($),CodeArtifact($),Elastic Container Service($),Migration Hub Refactor Spaces($),Location Service($)
date-time,0.0,1.1773831067112211e-32,7.473806883461643e-23,4.8187120834164736e-160,1.3841012416186969e-12,2.2670404116049773e-09,7.185079803360785e-44,6.451773058827749e-22,1.222680851264649e-123,1.6795561321838828e-21,1.1029389543484125e-07,5.938245307621733e-07,4.22286260319573e-130,,6.633778492449005e-195,5.78891852463712e-78,5.751907924174052e-136,4.515910467015701e-50,,7.581316008708219e-87,9.219059550061575e-73,,,0.37447927312289786,1.2723927117657663e-06,1.407820085897758e-05,2.656873496690285e-142,,,1.2047048394696482e-84,5.146772033586906e-116,0.028617673138427148,7.185977886350185e-08,8.448241403912731e-106,5.383867591268575e-16,0.08551480416518165,2.389788782340335e-152,0.022303367796904835,1.0151033744089527e-48,0.07406803698912814,2.000909319572392e-08,5.758994668023097e-10,3.640467786401553e-38,0.1531464771068422,0.8564256917631696,0.8235804799261172,4.965617191945728e-44,2.7067771401057638e-08,,,
EC2-Instances($),1.1773831067112211e-32,0.0,0.2549709808617026,1.9586973277607754e-20,0.0006341472424423058,0.0001777366660604275,0.07066911811404025,0.10920752493340441,4.701606052955001e-17,1.1624003537688814e-05,0.009588454599335302,0.7121927949129916,5.765577927087769e-27,,6.085679385150201e-45,0.04595811282611556,1.7147354704048603e-08,1.4756711433583396e-154,,0.00727179713778036,0.27253519814725347,,,0.0025453794474846417,2.1932613456505277e-34,0.8782454533483692,6.086065137445088e-06,,,2.6649877452228207e-86,6.500125684653266e-06,0.0002151016310566663,1.2609463922896658e-98,1.0462849493408282e-06,5.335735640117782e-10,0.6511255179522983,7.189453718948586e-12,0.04903891847170191,0.001246645956848619,0.5585435422077464,4.492774162925433e-25,0.20672048113093133,0.8131470381474084,0.043711262286301594,0.0063051252628909225,0.46428115141353443,0.0038356026028925957,2.0694175222472798e-07,,,
S3($),7.473806883461643e-23,0.2549709808617026,0.0,1.1626483905804657e-11,0.00013306725830029655,0.7052099578854227,6.705747220700013e-06,3.654483049776429e-16,1.5755987063917587e-55,0.0010995485895840904,2.5668560219353775e-14,0.09391371356262947,5.894996129469739e-13,,4.399056300674314e-22,2.2453995107945255e-29,1.7001537226538403e-22,0.17723370005105404,,9.88751525810116e-22,4.905967710055716e-17,,,0.28893422675926483,0.0008207049236459167,0.0022381604495747935,1.1576647595533076e-44,,,9.731351774703992e-05,2.7487858935246526e-52,0.008935690576439333,9.582986997737354e-11,1.7142292396502836e-19,2.2070091937952717e-34,0.1640635600750247,7.082736381206578e-18,0.5079434902718933,5.809410681731469e-39,0.5214891136695134,0.001989587249917422,8.804035799381563e-08,1.8228422924335624e-05,0.40082937814829256,5.2846679932252376e-05,0.597515430990721,0.00047815638318692634,0.6786186104517994,,,
Relational Database Service($),4.8187120834164736e-160,1.9586973277607754e-20,1.1626483905804657e-11,0.0,2.4014331695466478e-11,4.095606624520787e-07,1.3219991465120177e-95,2.855797492808201e-11,1.0421674655413111e-72,1.299763387524757e-19,0.000700291476888883,1.682463855089865e-08,6.3527582917799895e-96,,3.6061808141096294e-92,9.297390412531852e-77,1.6077139555629663e-131,2.0944791544121084e-37,,3.020727147195048e-126,4.526459130216693e-112,,,0.805929490933144,9.760851205166773e-08,2.5246216184059886e-05,2.0638687304173791e-100,,,1.1356565224055687e-67,1.6518461028638344e-84,0.5354849431102408,0.0008105915606894374,2.510769543896875e-151,0.00020255775979504298,0.026438667958635177,4.175575205034278e-176,0.04752751164086612,3.0232790795424793e-36,0.04022330088499682,0.05093910682723269,1.5528416663896726e-10,1.872334344132504e-83,0.5222945238716613,0.7010989227856348,0.9836369952740243,5.355180243277447e-77,5.056671217645101e-07,,,
EC2-Other($),1.3841012416186969e-12,0.0006341472424423058,0.00013306725830029655,2.4014331695466478e-11,0.0,0.12400405190141796,2.696899192580049e-10,0.06637021817355662,1.1326684969003018e-11,0.0008109063091597123,6.5338052263163e-24,0.07146474164573176,7.5037543775963e-09,,4.925746315125655e-14,1.2785370787032328e-10,1.6707252793007153e-10,0.0032954742503763135,,1.9504717725241088e-12,1.5022205754740946e-10,,,0.0010466014815814033,0.3031273805227189,0.42639484754795204,2.9486924736475106e-13,,,2.6591450945361408e-05,9.030894172099126e-13,0.012661205601467015,0.5809191715996742,5.519938418615904e-13,0.016168239330827682,0.04082174811604989,2.788326104322688e-10,0.26975615538835157,1.5046499797825635e-08,0.3487506228147728,0.13721856831360393,0.2351626043740937,4.34872557318781e-09,0.4237620390347815,0.12252628146654851,0.6703325506767254,1.034884259527185e-05,0.5305481809150371,,,
Glue($),2.2670404116049773e-09,0.0001777366660604275,0.7052099578854227,4.095606624520787e-07,0.12400405190141796,0.0,0.02280712110413352,0.5263865443996354,9.135189340761998e-05,0.0010871932108736753,0.2392060418026456,0.2115355884511148,2.05106268323812e-09,,1.4138622855331312e-06,0.004050092249077347,0.00021732842108815076,9.150214175872495e-05,,0.0005040097949818252,0.004779259112944527,,,0.08849457868520541,0.030460640029370805,0.28371581545853786,5.25398687943968e-05,,,6.136491863656932e-06,2.346322196935012e-06,0.8564811370990221,7.670398810697505e-06,0.0001253185115412436,0.0007361287473459905,0.274935109145305,8.96460561836449e-06,0.16619349472555076,0.0009874765369837543,0.3073067295808363,4.85143864450073e-06,0.31985938369128036,0.020840875001507005,0.41679434171622337,0.3706520783553159,0.6904119323721117,0.010397114714207413,0.9821139238340365,,,
DocumentDB (with MongoDB compatibility)($),7.185079803360785e-44,0.07066911811404025,6.705747220700013e-06,1.3219991465120177e-95,2.696899192580049e-10,0.02280712110413352,0.0,0.0006958221324537872,2.509182073805937e-24,1.2526500669384518e-07,6.563163545901858e-05,5.784116901084022e-12,4.7143378303110445e-37,,1.2908458537591449e-21,5.449802496694468e-45,9.091244675051574e-58,2.2739274687481969e-07,,1.905039876062162e-125,3.5233503688065716e-140,,,0.115627304744093,0.0008939237336436569,0.03136659948546072,2.4369418087819108e-51,,,9.261839808970508e-11,2.0681005533552855e-45,0.2935105264358051,0.0032293771051855485,1.1690576164559816e-127,0.4158528248418238,0.006920499911607499,7.7380002504197585e-78,0.5584560009020427,2.04643427609811e-22,0.019963967242024254,0.0016188996208112518,1.8147460843272023e-09,1.4235296214493635e-206,6.633030208710096e-05,0.026627543519175144,0.7910994509631449,3.8961731958988426e-76,0.088613786264768,,,
Elastic MapReduce($),6.451773058827749e-22,0.10920752493340441,3.654483049776429e-16,2.855797492808201e-11,0.06637021817355662,0.5263865443996354,0.0006958221324537872,0.0,4.539715929601412e-26,5.607901101562089e-08,1.1195921110576352e-06,0.04211222316279278,8.340550345937356e-11,,2.3235655370986762e-23,5.555973591087849e-29,7.328498891477001e-33,0.00014499178624354552,,1.5067711022776525e-15,4.481652510051997e-17,,,0.895704713464067,0.015933261706951616,1.0173542823019565e-18,1.197768225151695e-27,,,3.624896441316157e-08,1.391631242802163e-22,0.8599622900338617,0.38296365878729105,1.8872070905755614e-16,0.003206172197744491,0.23635340678072905,2.5122496919076143e-25,0.8426446435795276,6.873212849287957e-19,0.9025037905655611,0.01595880026041767,5.7872255675447464e-24,0.00018696539730674613,0.03549994414616781,0.12866350394329476,0.6723186030848104,5.6228379452905545e-12,0.17117093153260052,,,
CloudWatch($),1.222680851264649e-123,4.701606052955001e-17,1.5755987063917587e-55,1.0421674655413111e-72,1.1326684969003018e-11,9.135189340761998e-05,2.509182073805937e-24,4.539715929601412e-26,0.0,2.336985635642984e-14,2.4037953037531287e-08,0.007918474970042066,8.789826533077009e-64,,2.015061693495734e-107,5.557778905929187e-70,6.714191870859479e-105,1.8908342832670575e-28,,3.258038556593752e-69,6.036326993888681e-54,,,0.6128832633089155,0.07611903808152362,1.657020307937053e-09,2.525811198772194e-108,,,1.432383742912657e-47,2.0144846104627655e-124,0.16562603730810752,0.1056628314948986,7.808031789999482e-77,7.201495602492352e-35,0.06672791257284064,2.067895568799991e-93,0.08175085444966684,1.887346994808042e-74,0.5662451292664072,1.1100072791007494e-05,4.404029644917286e-08,4.231531412296448e-21,0.22388197552366815,0.7969991413212757,0.8900434136623939,4.756323057603258e-30,0.00025055452671794525,,,
VPC($),1.6795561321838828e-21,1.1624003537688814e-05,0.0010995485895840904,1.299763387524757e-19,0.0008109063091597123,0.0010871932108736753,1.2526500669384518e-07,5.607901101562089e-08,2.336985635642984e-14,0.0,0.005293291699793387,0.4716855844556456,3.406234551766797e-17,,1.024743270762523e-18,3.072816115076117e-12,4.4881994012934374e-20,1.6216950498651912e-08,,2.6696159732085967e-14,5.149349739602794e-13,,,0.03056831904938613,0.010919989243784562,0.03460920220553272,6.287203802737003e-16,,,6.004506038022648e-15,4.525849274531957e-13,0.09696633158563425,0.021398356828080816,1.7446102800214053e-15,0.006717516736566997,0.8501380782538742,4.5301317039148135e-18,0.20445467277109394,2.1539324952884802e-10,0.7788610110468192,0.007542519413393616,0.008790050817242457,8.290420948080202e-08,0.08015502902307058,0.41077967865549925,0.280771134903744,5.052564938960599e-10,0.0021445523426559445,,,
