,date-time,EC2-Instances($),S3($),Relational Database Service($),EC2-Other($),Glue($),DocumentDB (with MongoDB compatibility)($),Elastic MapReduce($),CloudWatch($),VPC($),OpenSearch Service($),Redshift($),Managed Streaming for Apache Kafka($),SageMaker($),ElastiCache($),DMS($),Elastic Load Balancing($),QuickSight($),Elastic File System($),SNS($),Lambda($),Elastic Container Service for Kubernetes($),Rekognition($),Hardened Red Hat Enterprise 7 (RHEL 7)($),Step Functions($),Glacier($),DynamoDB($),Backup($),AppFlow($),Route 53($),SQS($),EC2 Container Registry (ECR)($),Key Management Service($),API Gateway($),CloudFront($),Athena($),Secrets Manager($),CloudWatch Events($),Cognito($),X-Ray($),Cost Explorer($),Service Catalog($),Systems Manager($),SES($),Simple Workflow Service($),Direct Connect($),CloudTrail($),CodeArtifact($),Elastic Container Service($),Migration Hub Refactor Spaces($),Location Service($)
date-time,0.0,0.2537892558539933,7.09368344599589e-27,8.111101339418063e-07,1.8112701975456545e-33,4.879552660162564e-25,0.0018349100329733779,2.104085122697908e-82,1.5374523674450227e-17,1.3455840076067673e-21,1.7674739954194044e-12,0.8619393905415337,3.7927539953854046e-83,2.9292400659799636e-61,3.183284033158547e-07,6.279119519254589e-34,0.0153191718515271,2.8093946408816446e-78,0.000775131644959651,0.020963581516811453,1.3830945002097272e-14,6.2278396491379335e-136,3.6158178326162415e-37,1.0317650439972338e-172,1.6968158116192482e-12,2.3379695114151186e-29,8.977969848504688e-34,0.08789303035517952,7.144965998769758e-07,3.778382803297424e-43,2.1995230991311123e-34,0.00010476096103702033,2.299036191878201e-102,2.8808382171023874e-97,2.8409676877060264e-16,0.10667492189299661,6.101770838651658e-101,1.7183637609247858e-18,7.907247357995805e-49,4.5583234363944856e-17,8.975818635029738e-12,1.2963562887752888e-19,6.53369571460321e-42,7.760869720351869e-29,9.450589562752195e-144,1.3706095048895194e-48,0.764457946438307,2.2638243787716534e-13,0.08508172995642901,,
EC2-Instances($),0.2537892558539933,0.0,0.24334990742690354,7.691494075483152e-14,8.357188929247371e-20,4.561805531107605e-22,0.004395908933403174,1.7623665899184756e-06,4.939008848414974e-13,4.998281676083794e-60,1.8102269587362252e-75,0.5453878656259127,8.787629040544372e-36,1.4571041013552812e-36,1.099288791621329e-48,2.2999756891888e-18,0.00022945065922986064,0.7343814363344778,0.2123497388959744,0.4526939364689675,4.0233012589379226e-37,1.6222210451104714e-17,1.9211403287084386e-08,0.5740322273685483,4.1478190358664323e-13,3.422977271619565e-15,2.1509202596662147e-23,1.1660379714724382e-12,0.04533752809372482,0.010229527882418665,0.6851073821473478,0.004297477565559779,7.900230605177026e-06,7.711556816704493e-20,2.3154083070959054e-08,9.81086439570429e-08,5.856911080160699e-18,4.573224474676999e-12,3.1702631924411723e-06,3.9569830016745664e-28,2.338146704789785e-11,8.07592598695046e-07,5.507135436385775e-45,0.05516199999132367,0.0032389358868488735,3.680717176543067e-05,0.08429543466786615,0.44969837001919,1.3777412262675063e-05,,
S3($),7.09368344599589e-27,0.24334990742690354,0.0,3.3836683409283624e-05,4.482541814097896e-26,0.00022467527922229286,3.4688622929561804e-30,3.4357206474632844e-21,4.94928912264096e-10,4.348637560053956e-15,0.012304128461445477,0.7573283199127926,1.0245239115865402e-08,9.01769654866964e-13,1.0154344725831135e-14,5.567853716357703e-09,4.200692686186778e-08,5.112576803610657e-19,0.9897786694298181,0.2207497865097825,8.793659555020802e-09,1.7721531427467503e-22,3.1854262379501796e-11,2.0507065334975585e-34,0.022148812200051462,2.4250166590256983e-08,1.9773390670351526e-05,1.4939780922627176e-08,0.04336119141520391,3.089066892051499e-19,9.318019150077268e-09,4.964049052295419e-05,1.54919243653436e-26,2.1148465960004356e-14,1.2581693447586774e-20,0.25467403845905573,7.918488553937153e-19,0.003230603728151194,2.6753820265123858e-17,0.004147288023522567,6.592247028866725e-05,5.950113584717894e-07,2.2806384019635408e-05,2.9944064222831004e-07,6.474633951587818e-21,4.511609117574395e-108,0.6897804493906701,0.0316101964058416,0.00040054838973738687,,
Relational Database Service($),8.111101339418063e-07,7.691494075483152e-14,3.3836683409283624e-05,0.0,2.62254792235272e-06,0.19744414037459015,0.0023361076842235923,0.8078373019024123,1.3729086940771141e-05,4.524114451160837e-22,1.9056955014943264e-10,0.7010888792727108,6.977886268799498e-15,1.7036944977809206e-23,4.9739072562519015e-22,0.05019082981595531,1.1776011532133678e-06,0.0002749963867103643,0.1808010013461567,0.9659722576959893,2.1734460440000522e-18,9.426884771376085e-12,0.6949082385924493,2.2937544733174141e-07,0.00018350456169359357,0.39539075839772336,1.8157319266823415e-09,3.3831481843930196e-06,0.011277132132698774,0.8721992448252014,0.008359116862329706,0.6077815879396066,5.995083571138117e-10,1.1549953986316103e-13,0.6828404721816733,0.15607644927737332,1.116784446150464e-20,6.095610376298727e-05,3.171305789940233e-09,6.038188919872393e-06,0.015656038846824108,1.9195926134288604e-11,3.1588422874283435e-11,0.14795971413808706,1.125387809953672e-09,1.4747628481296747e-11,0.45551127268595826,0.8898100570022067,0.025769218324935395,,
EC2-Other($),1.8112701975456545e-33,8.357188929247371e-20,4.482541814097896e-26,2.62254792235272e-06,0.0,0.5242803436293705,0.0009601895546979744,9.684037440729398e-18,2.4229650243064697e-12,1.93220745643897e-29,0.11731124954314562,0.5480870658277401,1.7435391920627098e-32,7.462981272413823e-30,8.484244620638018e-17,0.47760438116321374,0.12987632636220575,6.627206879494322e-14,0.8364858976900271,0.15005093035908418,2.215080329662487e-23,2.20355205617503e-51,5.024977093284913e-06,2.2139932324981912e-32,2.2274740386366815e-08,0.6810655126934497,1.5451485521220076e-17,0.018084044993929592,0.13619293485907372,3.0830588696206647e-18,2.351345122095754e-11,9.899366382754757e-06,6.132486993726253e-34,1.7049895910505744e-36,0.03766383788747484,0.019389098245260944,8.550741210413408e-32,2.135810150066746e-10,3.1433615310999045e-19,1.31125853011697e-18,0.6149245593976507,1.0892901415908144e-07,7.268460219514235e-30,1.662939397989629e-08,3.100557608040008e-27,1.3726181720901984e-48,0.8919965763834101,1.3432937003011976e-06,0.07769136426625749,,
Glue($),4.879552660162564e-25,4.561805531107605e-22,0.00022467527922229286,0.19744414037459015,0.5242803436293705,0.0,0.7243336972629555,1.0809918508750605e-32,0.5326304528937277,0.00018698286765381612,3.220537333286637e-32,0.8849329159796184,0.0004823973563500821,0.2215963377248466,3.1907405329168787e-06,1.3831845983123367e-37,6.646291914481838e-06,1.5098134724865352e-13,0.01223522523302526,0.9268593507492195,0.020684637921369948,3.3272262513007515e-08,3.542161310665735e-09,1.2131718882152567e-19,0.34603054043160525,1.874306506369871e-40,0.08277641256954345,1.2228377509326219e-14,0.016388153387388717,1.1512779659300872e-08,3.3218563470506764e-05,0.019860378429456173,4.4990741189234495e-08,9.810874684583677e-07,8.026986060148429e-08,0.0005763277343651687,0.0005928247235610543,0.07349426244124965,0.0002143561308570058,0.4747751497549453,1.0332748894316908e-12,0.025297833664035742,0.05576002264736539,2.0033960688161224e-05,4.600785284125587e-19,0.0008739080797155417,0.0009114593224101726,0.00010793577590328706,0.05262938995403701,,
DocumentDB (with MongoDB compatibility)($),0.0018349100329733779,0.004395908933403174,3.4688622929561804e-30,0.0023361076842235923,0.0009601895546979744,0.7243336972629555,0.0,0.9583718737518894,1.2312064823229473e-12,1.9628005077516084e-11,0.028209618836363592,0.5738783720633622,0.0004490733082143115,4.803984013491314e-09,9.44821880754929e-10,0.859029306422562,8.047381864398286e-08,0.0030398104750710155,0.1403842760492728,0.4794693192328563,0.0009529921891787903,0.00021017356443091183,0.6026159863419862,0.00019084327661533166,0.0060897394693084925,0.9720049298495129,0.00017190590919965355,6.156010460029804e-05,0.36732741506473676,0.797244810995743,0.025181640077180396,0.6961347857650406,3.717718766798121e-09,9.779555989240395e-08,1.923092986795931e-12,0.7327868492757171,5.001114635123254e-05,0.007051730358742911,1.3933900420115697e-07,0.0003412896118468217,0.511978430368238,0.02805929681382133,2.4891249477212796e-05,0.03210769642744238,0.0011532186861717992,1.9022748310349324e-11,0.00019496064532682794,0.3449083654598391,0.5623013308011021,,
Elastic MapReduce($),2.104085122697908e-82,1.7623665899184756e-06,3.4357206474632844e-21,0.8078373019024123,9.684037440729398e-18,1.0809918508750605e-32,0.9583718737518894,0.0,3.791404126159047e-05,0.06938469763493109,3.417147290775936e-45,0.7869362606756183,1.6311180877265652e-20,6.74074428074656e-07,0.7728722703300261,1.7193355197922843e-26,8.007026440309211e-06,4.639282423962864e-47,0.16824617126354574,0.06843438931963415,0.28553085846503523,6.660190520638612e-52,2.0262630985351756e-28,1.4013992582482409e-67,0.0033572887292465177,1.3168440905175084e-20,2.463787136641514e-08,0.006063027459447374,0.0021226393609965165,6.166926574968128e-70,3.562191372404318e-18,8.109891864946746e-14,4.3751994784421476e-54,4.618987324978414e-20,3.411054971344457e-11,0.32332779768835385,5.379274295420002e-18,1.102912003943557e-05,4.999895659353148e-13,0.00034746993799007243,4.9931192863698964e-24,0.0007372300547096518,1.572292094557955e-08,3.4501575813543977e-15,1.8525145781696703e-44,1.340993989302223e-34,0.00027676773212167234,4.655723135312867e-15,2.8820238086531016e-15,,
CloudWatch($),1.5374523674450227e-17,4.939008848414974e-13,4.94928912264096e-10,1.3729086940771141e-05,2.4229650243064697e-12,0.5326304528937277,1.2312064823229473e-12,3.791404126159047e-05,0.0,1.3832056950959077e-23,0.0027509085974549417,0.6420650506255702,2.017896076092745e-33,1.0272306448062525e-33,8.848702319872791e-10,0.6979438202631097,0.3400372013856795,8.669939838950022e-07,0.039227662101244704,0.18573906169375776,3.0793645885909205e-12,3.177728382231949e-25,0.0003595839728287905,2.78838595559369e-12,1.6419527608861452e-12,0.26926436880998167,5.917586267695076e-52,0.19541440294654522,0.3331125861399952,0.001300176989893553,1.1578400045113343e-06,0.8458229353366424,8.042012831947588e-24,6.9703283614678e-37,0.1263334373466301,0.22834622767778173,3.1945622720073857e-21,1.747431456106111e-13,5.353217322879646e-11,7.806545886317267e-16,0.8233928997556463,1.1758153359801963e-11,1.0980726311598379e-36,0.025736516710838733,1.0761061760817324e-08,9.440209851195338e-12,0.04608449990529056,0.04567862242849814,0.07467353981784358,,
VPC($),1.3455840076067673e-21,4.998281676083794e-60,4.348637560053956e-15,4.524114451160837e-22,1.93220745643897e-29,0.00018698286765381612,1.9628005077516084e-11,0.06938469763493109,1.3832056950959077e-23,0.0,2.2118165762050222e-23,0.7227006128448349,4.727836042310044e-62,6.340328925099713e-82,8.904521052276383e-60,0.07485225339420981,1.4630716948411566e-22,1.1058545232233566e-16,0.0006562328192579173,0.032416376798420195,1.960485380193673e-54,7.289602213329105e-47,0.024226585269561333,1.5037653330561006e-19,1.0669027033330706e-17,0.26777911106441216,1.7061625725600728e-41,3.106775550240491e-07,6.607962117682163e-05,0.002602786781362504,3.690338684452785e-11,0.46863212921554903,8.306819451972507e-32,9.123157516850736e-52,0.8583737640473146,1.5636469108712126e-06,6.251367537121928e-65,2.047941217894332e-19,4.873135466602721e-24,2.0174164847138565e-24,0.009747642132794531,2.847432993096787e-21,1.2354782602592427e-51,5.061529670335222e-07,1.1443273209090549e-23,2.9988569219788977e-30,0.7631741689141185,0.08206190894920203,0.03837743676203703,,
