,date-time,EC2-Instances($),S3($),Relational Database Service($),EC2-Other($),Glue($),DocumentDB (with MongoDB compatibility)($),Elastic MapReduce($),CloudWatch($),VPC($),OpenSearch Service($),Redshift($),Managed Streaming for Apache Kafka($),SageMaker($),ElastiCache($),DMS($),Elastic Load Balancing($),QuickSight($),Elastic File System($),SNS($),Lambda($),Elastic Container Service for Kubernetes($),Rekognition($),Hardened Red Hat Enterprise 7 (RHEL 7)($),Step Functions($),Glacier($),DynamoDB($),Backup($),AppFlow($),Route 53($),SQS($),EC2 Container Registry (ECR)($),Key Management Service($),API Gateway($),CloudFront($),Athena($),Secrets Manager($),CloudWatch Events($),Cognito($),X-Ray($),Cost Explorer($),Service Catalog($),Systems Manager($),SES($),Simple Workflow Service($),Direct Connect($),CloudTrail($),CodeArtifact($),Elastic Container Service($),Migration Hub Refactor Spaces($),Location Service($)
date-time,7,0,7,4,7,7,2,7,7,7,7,0,7,7,4,7,1,7,3,1,7,7,7,7,7,7,7,0,4,7,7,3,7,7,7,0,7,7,7,7,7,7,7,7,7,7,0,7,0,0,0
EC2-Instances($),0,7,0,7,7,7,2,4,7,7,7,0,7,7,7,7,3,0,0,0,7,7,5,0,7,7,7,7,1,1,0,2,4,7,5,5,7,7,4,7,6,4,7,0,2,3,0,0,3,0,0
S3($),7,0,7,3,7,3,7,7,6,7,1,0,5,7,7,5,5,7,0,0,5,7,6,7,1,5,3,5,1,7,5,3,7,7,7,0,7,2,7,2,3,4,3,4,7,7,0,1,3,0,0
Relational Database Service($),4,7,3,7,4,0,2,0,3,7,6,0,7,7,7,0,4,3,0,0,7,7,0,4,3,0,5,4,1,0,2,0,6,7,0,0,7,3,5,4,1,6,6,0,5,6,0,0,1,0,0
EC2-Other($),7,7,7,4,7,0,3,7,7,7,0,0,7,7,7,0,0,7,0,0,7,7,4,7,5,0,7,1,0,7,6,4,7,7,1,1,7,6,7,7,0,4,7,5,7,7,0,4,0,0,0
Glue($),7,7,3,0,0,7,0,7,0,3,7,0,3,0,4,7,4,7,1,0,1,5,5,7,0,7,0,7,1,5,3,1,5,4,5,3,3,0,3,0,7,1,0,3,7,3,3,3,0,0,0
DocumentDB (with MongoDB compatibility)($),2,2,7,2,3,0,7,0,7,6,1,0,3,5,6,0,5,2,0,0,3,3,0,3,2,0,3,3,0,0,1,0,5,5,7,0,3,2,4,3,0,1,3,1,2,6,3,0,0,0,0
Elastic MapReduce($),7,4,7,0,7,7,0,7,3,0,7,0,7,4,0,7,4,7,0,0,0,7,7,7,2,7,5,2,2,7,7,7,7,7,6,0,7,3,7,3,7,3,5,7,7,7,3,7,7,0,0
CloudWatch($),7,7,6,3,7,0,7,3,7,7,2,0,7,7,6,0,0,4,1,0,7,7,3,7,7,0,7,0,0,2,4,0,7,7,0,0,7,7,6,7,0,6,7,1,5,7,1,1,0,0,0
VPC($),7,7,7,7,7,3,6,0,7,7,7,0,7,7,7,0,7,7,3,1,7,7,1,7,7,0,7,4,3,2,6,0,7,7,0,4,7,7,7,7,2,7,7,4,7,7,0,0,1,0,0
OpenSearch Service($),7,7,1,6,0,7,1,7,2,7,7,0,2,5,7,7,7,7,0,0,7,0,7,6,2,7,3,7,0,7,4,4,2,0,5,2,2,1,0,4,7,2,4,7,3,0,1,3,7,0,0
Redshift($),0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Managed Streaming for Apache Kafka($),7,7,5,7,7,3,3,7,7,7,2,0,7,7,7,3,0,7,3,0,7,7,4,7,7,3,7,0,5,7,7,0,7,7,0,3,7,7,7,7,0,7,7,5,7,7,1,4,0,0,0
SageMaker($),7,7,7,7,7,0,5,4,7,7,5,0,7,7,7,0,2,7,3,0,7,7,5,7,7,1,7,1,5,4,7,0,7,7,1,3,7,7,7,7,0,7,7,5,7,7,0,3,4,0,0
ElastiCache($),4,7,7,7,7,4,6,0,6,7,7,0,7,7,7,6,7,3,1,0,7,7,0,7,3,6,7,7,0,0,1,0,7,7,3,0,7,4,7,5,0,5,7,0,4,7,1,0,0,0,0
DMS($),7,7,5,0,0,7,0,7,0,0,7,0,3,0,6,7,5,7,1,1,0,6,7,7,0,7,0,7,2,7,6,3,2,5,4,0,4,1,3,0,7,2,1,7,7,3,6,3,3,0,0
Elastic Load Balancing($),1,3,5,4,0,4,5,4,0,7,7,0,0,2,7,5,7,0,0,0,4,1,0,0,0,3,0,5,0,0,0,1,0,0,0,0,1,0,0,1,0,2,1,0,0,5,2,0,0,0,0
QuickSight($),7,0,7,3,7,7,2,7,4,7,7,3,7,7,3,7,0,7,3,4,4,7,7,7,2,7,5,0,3,7,7,6,7,7,5,0,7,4,7,4,6,4,7,7,7,7,0,5,4,0,0
Elastic File System($),3,0,0,0,0,1,0,0,1,3,0,0,3,3,1,1,0,3,7,0,2,3,0,1,1,2,2,3,1,0,0,0,2,4,0,1,3,1,1,3,0,3,3,1,3,0,0,0,0,0,0
SNS($),1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,0,7,0,0,3,1,0,1,0,0,0,1,7,0,0,1,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0
Lambda($),7,7,5,7,7,1,3,0,7,7,7,0,7,7,7,0,4,4,2,0,7,7,0,7,6,0,7,4,3,0,4,3,7,7,0,2,7,6,7,7,3,7,7,2,7,7,2,0,0,0,0
Elastic Container Service for Kubernetes($),7,7,7,7,7,5,3,7,7,7,0,0,7,7,7,6,1,7,3,0,7,7,6,7,7,5,7,0,5,7,7,4,7,7,3,2,7,7,7,7,3,7,7,7,7,7,0,6,0,0,0
Rekognition($),7,5,6,0,4,5,0,7,3,1,7,0,4,5,0,7,0,7,0,3,0,6,7,7,1,7,2,1,2,7,7,2,7,7,7,0,7,3,7,2,6,3,0,7,7,6,0,4,0,0,0
Hardened Red Hat Enterprise 7 (RHEL 7)($),7,0,7,4,7,7,3,7,7,7,6,0,7,7,7,7,0,7,1,1,7,7,7,7,4,7,7,0,3,7,7,3,7,7,7,0,7,7,7,5,7,7,7,7,7,7,0,7,0,0,0
Step Functions($),7,7,1,3,5,0,2,2,7,7,2,0,7,7,3,0,0,2,1,0,6,7,1,4,7,0,7,0,2,0,4,0,6,7,0,2,7,7,4,7,0,5,7,1,5,3,0,0,0,0,0
Glacier($),7,7,5,0,0,7,0,7,0,0,7,0,3,1,6,7,3,7,2,1,0,5,7,7,0,7,1,7,2,4,5,2,3,6,4,0,4,1,3,0,5,3,2,7,7,3,4,1,1,0,0
DynamoDB($),7,7,3,5,7,0,3,5,7,7,3,0,7,7,7,0,0,5,2,0,7,7,2,7,7,1,7,0,1,3,5,0,7,7,0,3,7,7,7,7,0,7,7,2,7,7,0,2,1,0,0
Backup($),0,7,5,4,1,7,3,2,0,4,7,0,0,1,7,7,5,0,3,0,4,0,1,0,0,7,0,7,0,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,2,7,0,0,1,0,0
AppFlow($),4,1,1,1,0,1,0,2,0,3,0,0,5,5,0,2,0,3,1,0,3,5,2,3,2,2,1,0,7,0,2,0,4,5,0,0,5,3,2,0,0,3,4,2,3,2,0,0,0,0,0
Route 53($),7,1,7,0,7,5,0,7,2,2,7,7,7,4,0,7,0,7,0,1,0,7,7,7,0,4,3,2,0,7,7,7,7,5,3,0,7,2,5,0,7,1,3,6,7,7,3,7,7,0,0
SQS($),7,0,5,2,6,3,1,7,4,6,4,0,7,7,1,6,0,7,0,7,4,7,7,7,4,5,5,0,2,7,7,2,7,7,4,0,7,5,7,4,3,5,7,7,7,5,0,3,0,0,0
EC2 Container Registry (ECR)($),3,2,3,0,4,1,0,7,0,0,4,0,0,0,0,3,1,6,0,0,3,4,2,3,0,2,0,1,0,7,2,7,4,0,0,0,0,0,0,0,3,0,0,3,0,6,1,1,7,0,0
Key Management Service($),7,4,7,6,7,5,5,7,7,7,2,0,7,7,7,2,0,7,2,0,7,7,7,7,6,3,7,1,4,7,7,4,7,7,6,0,7,7,7,7,4,7,7,7,7,7,3,6,1,0,0
API Gateway($),7,7,7,7,7,4,5,7,7,7,0,0,7,7,7,5,0,7,4,1,7,7,7,7,7,6,7,0,5,5,7,0,7,7,4,3,7,7,7,7,0,7,7,7,7,7,0,3,2,0,0
CloudFront($),7,5,7,0,1,5,7,6,0,0,5,1,0,1,3,4,0,5,0,0,0,3,7,7,0,4,0,0,0,3,4,0,6,4,7,0,5,0,7,0,7,0,0,6,6,7,5,2,0,0,0
Athena($),0,5,0,0,1,3,0,0,0,4,2,0,3,3,0,0,0,0,1,0,2,2,0,0,2,0,3,0,0,0,0,0,0,3,0,7,2,2,3,3,0,2,3,1,0,0,0,0,0,0,0
Secrets Manager($),7,7,7,7,7,3,3,7,7,7,2,0,7,7,7,4,1,7,3,0,7,7,7,7,7,4,7,2,5,7,7,0,7,7,5,2,7,7,7,7,0,7,7,7,7,7,1,4,1,0,0
CloudWatch Events($),7,7,2,3,6,0,2,3,7,7,1,0,7,7,4,1,0,4,1,0,6,7,3,7,7,1,7,0,3,2,5,0,7,7,0,2,7,7,5,7,0,6,7,3,6,4,0,1,0,0,0
Cognito($),7,4,7,5,7,3,4,7,6,7,0,0,7,7,7,3,0,7,1,1,7,7,7,7,4,3,7,0,2,5,7,0,7,7,7,3,7,5,7,5,2,6,7,7,7,7,0,3,2,0,0
X-Ray($),7,7,2,4,7,0,3,3,7,7,4,0,7,7,5,0,1,4,3,0,7,7,2,5,7,0,7,0,0,0,4,0,7,7,0,3,7,7,5,7,0,4,7,2,7,3,0,0,0,0,0
Cost Explorer($),7,6,3,1,0,7,0,7,0,2,7,0,0,0,0,7,0,6,0,0,3,3,6,7,0,5,0,0,0,7,3,3,4,0,7,0,0,0,2,0,7,0,0,3,4,2,0,3,3,0,0
Service Catalog($),7,4,4,6,4,1,1,3,6,7,2,0,7,7,5,2,2,4,3,0,7,7,3,7,5,3,7,0,3,1,5,0,7,7,0,2,7,6,6,4,0,7,7,5,7,7,0,0,1,0,0
Systems Manager($),7,7,3,6,7,0,3,5,7,7,4,0,7,7,7,1,1,7,3,0,7,7,0,7,7,2,7,0,4,3,7,0,7,7,0,3,7,7,7,7,0,7,7,3,7,7,1,2,2,0,0
SES($),7,0,4,0,5,3,1,7,1,4,7,0,5,5,0,7,0,7,1,3,2,7,7,7,1,7,2,0,2,6,7,3,7,7,6,1,7,3,7,2,3,5,3,7,7,4,0,2,1,0,0
Simple Workflow Service($),7,2,7,5,7,7,2,7,5,7,3,0,7,7,4,7,0,7,3,1,7,7,7,7,5,7,7,2,3,7,7,0,7,7,6,0,7,6,7,7,4,7,7,7,7,7,0,4,0,0,0
Direct Connect($),7,3,7,6,7,3,6,7,7,7,0,0,7,7,7,3,5,7,0,0,7,7,6,7,3,3,7,7,2,7,5,6,7,7,7,0,7,4,7,3,2,7,7,4,7,7,0,3,4,0,0
CloudTrail($),0,0,0,0,0,3,3,3,1,0,1,0,1,0,1,6,2,0,0,0,2,0,0,0,0,4,0,0,0,3,0,1,3,0,5,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0
CodeArtifact($),7,0,1,0,4,3,0,7,1,0,3,0,4,3,0,3,0,5,0,0,0,6,4,7,0,1,2,0,0,7,3,1,6,3,2,0,4,1,3,0,3,0,2,2,4,3,0,7,0,0,0
Elastic Container Service($),0,3,3,1,0,0,0,7,0,1,7,0,0,4,0,3,0,4,0,0,0,0,0,0,0,1,1,1,0,7,0,7,1,2,0,0,1,0,2,0,3,1,2,1,0,4,0,0,7,0,0
Migration Hub Refactor Spaces($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Location Service($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
