,date-time,EC2-Instances($),S3($),Relational Database Service($),EC2-Other($),Glue($),DocumentDB (with MongoDB compatibility)($),Elastic MapReduce($),CloudWatch($),VPC($),OpenSearch Service($),Redshift($),Managed Streaming for Apache Kafka($),SageMaker($),ElastiCache($),DMS($),Elastic Load Balancing($),QuickSight($),Elastic File System($),SNS($),Lambda($),Elastic Container Service for Kubernetes($),Rekognition($),Hardened Red Hat Enterprise 7 (RHEL 7)($),Step Functions($),Glacier($),DynamoDB($),Backup($),AppFlow($),Route 53($),SQS($),EC2 Container Registry (ECR)($),Key Management Service($),API Gateway($),CloudFront($),Athena($),Secrets Manager($),CloudWatch Events($),Cognito($),X-Ray($),Cost Explorer($),Service Catalog($),Systems Manager($),SES($),Simple Workflow Service($),Direct Connect($),CloudTrail($),CodeArtifact($),Elastic Container Service($),Migration Hub Refactor Spaces($),Location Service($)
date-time,0.0,6.842034781343404e-33,3.824835037045494e-17,4.236862938230444e-76,1.0220982815572478e-22,3.1258604197552115e-27,0.7910691379930619,5.2685712152974566e-82,2.1957987604899888e-11,4.1161221208546944e-13,4.473687972466413e-32,0.7772846499744565,2.6158803436775844e-40,0.00020547776060737444,7.787108841710792e-105,2.0406679760654653e-38,0.05491459127399151,5.637643879661951e-40,0.7425088588006168,0.001015220026993799,7.88857538296678e-15,9.832651826569293e-107,1.4956815284005086e-36,5.851270457117552e-219,1.7175482291618543e-12,3.8849579267523966e-26,7.74584779169461e-06,1.5935961061050406e-23,1.5635771829923296e-05,1.1777193951571029e-07,7.86717241170692e-07,0.012346471120579435,4.6034238201620614e-07,1.3380981042499148e-08,6.765444269037108e-65,0.010398827236181362,4.106584168608592e-65,1.1819278149084367e-18,3.747356359334463e-58,4.704735932033154e-67,1.7881190867139763e-08,0.20994157951563439,1.0897876845437384e-21,4.996689075269592e-16,5.154773322620198e-20,0.8237069250176222,8.913906223229474e-20,0.49951627065160314,1.5961261900575454e-05,,
EC2-Instances($),6.842034781343404e-33,0.0,9.885707971040933e-05,4.513518396561949e-21,1.1630900629814113e-17,0.0036598548829445544,0.22417071742580325,3.0246749811058943e-07,2.061504084513646e-13,1.7305340814909054e-07,4.156369301055411e-23,0.9888474787278247,2.121084820910851e-12,3.338660179886792e-14,5.175970255828551e-11,2.351352272261719e-05,4.076925006808448e-05,0.00015065028234385153,2.781972569532335e-07,0.09011654972563209,2.2951141670959046e-36,4.891522531587869e-28,0.020559975427362077,7.975436278832969e-17,1.220520559301702e-16,0.0068824288687895935,0.08914277504071483,0.04448198854643882,0.001289786537674462,0.01886178705229347,0.004865450990116529,0.595081924652123,0.8110150374154455,0.4248310088715811,1.3636718612132168e-18,0.9016007449955115,7.448611299877573e-12,6.738728345805545e-19,6.828188878629759e-14,6.32769788953123e-25,1.6097794294770997e-05,0.034370001302113616,0.004928502151578683,3.015615452595907e-11,0.2283444795743681,0.7987168153630598,7.582083270692135e-11,0.8666252216649365,0.6596408472972668,,
S3($),3.824835037045494e-17,9.885707971040933e-05,0.0,0.0008622406004562662,3.316911974533786e-07,0.00011470707063579566,3.2769989962740565e-27,5.879413756321129e-17,6.927821566854261e-08,1.855261980459971e-13,2.604561193158722e-06,0.7821520592251732,0.03066679426070095,0.0219736649592156,2.3685515633975687e-05,7.800460531289933e-09,0.02158106015731531,1.0255301502884538e-07,1.38350785909143e-12,0.0005537688360358092,2.841738375508689e-05,3.977050284268105e-16,3.041027042659651e-07,1.1792401240755066e-28,0.15152661541541151,1.032081922150566e-07,0.00020939217422556383,1.1156184053762566e-05,0.0771405644891451,3.464439812941058e-05,1.562274076995128e-05,0.000432709359957557,3.896270577053619e-26,0.06952350358594228,4.431592667523733e-07,0.3559737801476257,1.2075552324022535e-38,0.04756365459101097,7.692611203586762e-12,1.0253346936612009e-11,1.2003359644934874e-05,0.40135313082551566,0.4023885404583286,0.14259765119571,1.7874487026406138e-08,0.08543665162153151,0.04474763641584128,0.33959913792821617,0.47400579746801424,,
Relational Database Service($),4.236862938230444e-76,4.513518396561949e-21,0.0008622406004562662,0.0,5.511033232625695e-06,1.6914403191902106e-07,0.12682032129899407,4.290428225776239e-20,1.1682675628568594e-12,1.3189824301125176e-16,1.3760747107823055e-31,0.8485622271273585,3.8278565211711573e-23,0.3466189557151019,1.4602044928656548e-77,5.598627274484516e-12,1.6754079924219538e-05,1.855208330058103e-19,0.38119715439008794,0.12559743927278488,3.7150051856158494e-25,1.3279542265475474e-58,1.5118634492357764e-30,2.428578230371899e-59,1.1408569494909615e-07,9.366018225229604e-09,0.0002983106858854854,2.4697851435376185e-10,2.576383606213542e-09,0.22159796544768293,0.004363243875554477,0.6555544313002403,0.768173279100204,0.016440411597121986,1.037118460600903e-74,0.17296133808599115,2.275388426217356e-22,1.8445640787562628e-11,4.7243649410335565e-48,1.1753818865672972e-39,0.0471597223012838,0.07718577056569025,6.346885188523219e-12,6.762974191896982e-54,1.5384059550908462e-05,0.8839614885858542,1.3759820576470109e-08,0.5365284966427226,0.004130353356839485,,
EC2-Other($),1.0220982815572478e-22,1.1630900629814113e-17,3.316911974533786e-07,5.511033232625695e-06,0.0,4.097829483157273e-13,0.005503830306483639,1.5433083575558643e-22,2.4650730568391427e-07,0.0011369779012684624,0.9089048926355704,0.7750633729039627,4.2179335201241854e-08,2.5263357553147765e-24,2.0233828470975577e-24,1.0643553464880523e-42,0.07002596593046531,8.86089339545005e-09,8.252699475422086e-06,0.07498147810999825,0.006531333949099162,3.4291130551514774e-06,1.394756907910024e-17,8.22960760380536e-21,0.11136544047149674,2.124306782674553e-24,1.179519555185431e-11,4.751617520118777e-16,0.2700610626453118,1.0152881033949923e-12,0.005146567752218109,0.007987991962961644,0.02326122451736116,0.0015656083345443898,7.553267653010984e-09,0.004580950697151558,7.184768621522341e-14,0.021062521081767212,5.361182082217254e-05,0.0001836369748150329,7.480894458595842e-07,0.6305292961733691,2.3722888645618547e-07,0.17161594788712917,3.3512930705907147e-12,0.49818667776428044,2.0281843911633917e-26,0.4973818677778674,0.005814970365371676,,
Glue($),3.1258604197552115e-27,0.0036598548829445544,0.00011470707063579566,1.6914403191902106e-07,4.097829483157273e-13,0.0,0.10934795669457482,2.221894957809239e-45,0.007971455250297462,0.039156590228292126,0.5420244306123801,0.6434257624156742,3.099672287746695e-06,5.842686168694163e-54,8.715342885103639e-25,5.457523845967022e-51,0.00032244985469789437,5.2187916087502204e-11,2.982781013273904e-11,0.19055796510050957,1.2159242379278466e-07,1.4434669864559625e-05,1.0147894891305992e-14,4.305668229381306e-32,0.8731068925165414,1.6144794206173382e-49,3.177917490742211e-39,9.666896048467316e-29,0.024933111956044137,0.006594673540030731,0.007989779480607079,0.005001019890116212,6.850480194943968e-05,1.4036488056819044e-19,8.04359353334429e-07,0.00017617736633967918,1.473115006461041e-09,0.3318924877687638,0.000264109021714356,0.00011871829542375617,8.163568021276264e-16,0.6019087714268825,9.714537000847905e-10,0.367506760502572,7.570458394628248e-48,0.5055736146901335,1.8023053887187547e-12,0.7133730437150754,4.479118801412976e-08,,
DocumentDB (with MongoDB compatibility)($),0.7910691379930619,0.22417071742580325,3.2769989962740565e-27,0.12682032129899407,0.005503830306483639,0.10934795669457482,0.0,0.03577909078153751,3.853114849297775e-40,4.163864067446079e-10,0.00230096307340708,0.7111887475495765,0.051946274838958285,0.036257723183171435,0.06025370214629264,0.06785782657333028,0.00024147944489694715,0.16518681174490502,0.003275671756855314,0.11884595662834228,0.16645961414328886,0.047790579334380176,0.8323580352172707,0.05154086912277905,0.6806298550637639,0.030446643375055163,1.1546796970905141e-36,2.509980319011154e-14,0.7584128589414058,0.10095605325729978,0.2578249243579502,0.39290932760097,4.787644196773842e-53,0.009509696957357363,0.37749122141696806,0.8548188246303844,0.05762139856503819,0.6085868216440119,0.02199831592090984,0.014419687859804579,0.5769774258490683,0.1279580224159726,0.05674523613462439,0.7170510338248185,0.560458702998832,0.03617687826338635,0.3066245814746065,0.40810439138087934,0.28909355084823624,,
Elastic MapReduce($),5.2685712152974566e-82,3.0246749811058943e-07,5.879413756321129e-17,4.290428225776239e-20,1.5433083575558643e-22,2.221894957809239e-45,0.03577909078153751,0.0,9.131610731620569e-07,0.01184285680011132,0.0014037140592998896,0.5649705709305584,8.099591435641796e-10,9.177458727326496e-25,9.032790862707645e-38,4.623926934824412e-26,0.6100091153094145,2.731775739242654e-33,0.04557370739712337,0.006631188410321249,0.5728052088927934,6.356337379310844e-30,9.890333815620035e-29,3.2508217525281873e-88,0.003345290247286459,7.366468534340341e-18,6.47360702355742e-08,5.3894897968523095e-20,0.0020435135626775502,3.2057057938334943e-07,0.0002241970989254199,1.570776337431124e-06,1.6014908975463754e-08,2.402240669961584e-12,1.3812848047757486e-25,0.0007154667903174392,7.718543163313213e-81,9.939240279009999e-06,1.1471127857872015e-18,2.5513294711557305e-17,7.019787058953367e-37,0.3024838395058181,9.605321823807778e-24,0.0004200116892051098,1.710425968116751e-21,0.22352837837227832,8.67303686987395e-08,0.09590469911210793,7.160125891186011e-08,,
CloudWatch($),2.1957987604899888e-11,2.061504084513646e-13,6.927821566854261e-08,1.1682675628568594e-12,2.4650730568391427e-07,0.007971455250297462,3.853114849297775e-40,9.131610731620569e-07,0.0,0.00017591296425275982,0.019200793472079744,0.4909398459369989,0.0008700554349947738,0.967787951520178,2.2757847060089045e-06,4.377024100719824e-17,0.016864165007467798,9.832206798930217e-06,0.020659325710268687,0.15549889709171916,0.00026422879231467305,0.00012395043538357542,0.0009676877711233667,4.857143408454367e-06,0.004984401296810032,8.661136032584808e-12,4.0153647253599303e-25,9.008868178853365e-09,0.00693909259705594,6.698198936366531e-05,0.12490379508322354,0.5198087519738835,3.2702033568069015e-30,0.022051104710883812,4.3764772840938695e-10,0.6028859945079547,0.0016532729567592117,0.000680029938148599,0.008881557762651152,0.009433697086945959,0.9962542678376675,0.014677942322495505,1.3894032111355902e-06,3.78267210974433e-05,0.00010179650678743667,0.10391178475302215,1.2357647475450856e-39,0.6462590600044229,0.7433448952499232,,
VPC($),4.1161221208546944e-13,1.7305340814909054e-07,1.855261980459971e-13,1.3189824301125176e-16,0.0011369779012684624,0.039156590228292126,4.163864067446079e-10,0.01184285680011132,0.00017591296425275982,0.0,4.608513315031983e-15,0.24397891460367696,1.8053943209685748e-07,0.5224364668610587,7.139798337607129e-10,0.13613804685446332,6.4078429263148835e-27,7.273106351345972e-11,0.021753499997541677,6.779133410885565e-06,7.010492250086189e-11,5.375374536315776e-20,1.5749536279923197e-22,3.030945828130863e-16,0.000589505823670183,0.42582727267876186,1.5050242479409691e-05,0.4371560688359757,0.4379660579068507,0.3331647347726761,1.255076830635635e-07,0.2257974088816204,7.505713211070587e-12,3.1982722394040293e-07,2.9561129885326756e-20,0.6589491450189118,2.1155681113899053e-10,5.7502288573258475e-05,1.0453421096754235e-23,3.2574685254471882e-15,0.7703383814979251,0.38676842059552385,0.012447830575527272,1.0325909750841852e-06,0.7904825192695412,0.5762036314189207,0.0656925812209006,0.024716453591767825,0.6028613684287483,,
