,date-time,EC2-Instances($),S3($),Relational Database Service($),EC2-Other($),Glue($),DocumentDB (with MongoDB compatibility)($),Elastic MapReduce($),CloudWatch($),VPC($),OpenSearch Service($),Redshift($),Managed Streaming for Apache Kafka($),SageMaker($),ElastiCache($),DMS($),Elastic Load Balancing($),QuickSight($),Elastic File System($),SNS($),Lambda($),Elastic Container Service for Kubernetes($),Rekognition($),Hardened Red Hat Enterprise 7 (RHEL 7)($),Step Functions($),Glacier($),DynamoDB($),Backup($),AppFlow($),Route 53($),SQS($),EC2 Container Registry (ECR)($),Key Management Service($),API Gateway($),CloudFront($),Athena($),Secrets Manager($),CloudWatch Events($),Cognito($),X-Ray($),Cost Explorer($),Service Catalog($),Systems Manager($),SES($),Simple Workflow Service($),Direct Connect($),CloudTrail($),CodeArtifact($),Elastic Container Service($),Migration Hub Refactor Spaces($),Location Service($)
date-time,0.0,0.17586879101700403,3.3743774335366317e-50,6.859989391315418e-11,6.610732363281548e-13,1.436964423020652e-51,,,7.937748070018988e-34,6.054764648504598e-118,3.3875955910892795e-07,,0.08214934596474642,,2.559861787003903e-22,,3.84191594172165e-122,,6.251035474036455e-156,0.005053901915376468,0.02031082316902348,0.06140722702877116,,,3.666979498858397e-06,1.0515454036861981e-86,1.12780269398395e-20,,,,9.116822207011152e-130,0.03291537232095787,5.275497444548805e-195,,0.010139274601384975,0.6655650939223036,5.317009120665592e-115,1.5264491636857624e-08,,,5.118931128262433e-08,0.8117986221942856,0.5614122796617169,0.07873227455426424,5.342059074904934e-23,0.8238071287649041,0.23462737676503492,2.809098656183913e-08,,,
EC2-Instances($),0.17586879101700403,0.0,1.269353639729178e-16,2.080985407551445e-52,3.115312328464324e-53,1.9934948619199378e-14,,,9.340184292818615e-34,3.104858877405352e-14,1.737220776907628e-83,,1.6990699859617198e-107,,1.9655642660608145e-53,,3.080071917238187e-06,,0.06368800475788695,1.2350314708504226e-34,0.31173233022864516,1.5956064733119374e-11,,,0.1811327819520292,5.026237686655728e-07,5.881603092011713e-31,,,,0.008768986415215674,0.13207939618393771,0.0127739953972406,,1.4949713515197753e-46,0.3416242432362435,5.3607455976531346e-14,2.5861276626684093e-07,,,6.731055423908136e-22,0.07541390893618455,0.6896262054468548,0.15376857204645178,4.41890008701968e-19,0.6078460611795437,2.949644238761645e-10,6.45754969666967e-05,,,
S3($),3.3743774335366317e-50,1.269353639729178e-16,0.0,5.079015194561618e-07,0.2516480485823501,1.7093512366414076e-107,,,7.85967599501625e-53,6.156969933919129e-17,8.66807487982828e-40,,5.2631406576835305e-20,,0.13776700375465417,,5.409746801006495e-23,,3.564464583170018e-52,6.325778232005613e-12,0.25424816048058235,2.326737862240699e-06,,,0.660591710845466,3.3750258942613325e-80,0.01427830627911858,,,,2.241683033361876e-35,0.002479853468418932,2.182681185809982e-35,,0.002428793961186778,0.9254523797909183,3.795864943954558e-12,0.0002897848973555217,,,1.7562449775921702e-16,7.869471020428108e-05,0.5788654067375659,0.24629991678150379,1.892092914033985e-18,0.6047866854726357,1.215730252037475e-05,0.0007786135961962662,,,
Relational Database Service($),6.859989391315418e-11,2.080985407551445e-52,5.079015194561618e-07,0.0,1.7573704499213226e-132,9.891643894193813e-07,,,3.853045624351068e-17,2.490442689629758e-43,7.266904641545748e-70,,1.6982499923982025e-84,,1.4829384756754983e-153,,4.967036816324275e-41,,6.170799945354008e-05,7.706269461801378e-54,0.19374946130931686,4.3069058755750574e-17,,,6.55073060776725e-06,0.36795908055980164,6.568492535242156e-07,,,,1.3394946997766154e-05,0.13674967287829845,1.011102052867992e-27,,9.404237162938915e-19,0.09014198404296664,3.2671393739610693e-62,6.757242338867785e-05,,,0.0006972556904832393,0.15469318904246357,0.7247185712019946,0.07348089767114588,1.8292864318317607e-07,0.7204529411409899,1.3339765602846096e-09,5.37997625211978e-05,,,
EC2-Other($),6.610732363281548e-13,3.115312328464324e-53,0.2516480485823501,1.7573704499213226e-132,0.0,0.01654880374917984,,,3.9559370532861996e-15,1.1175204091413592e-52,5.193470856473861e-63,,1.1129733449464436e-65,,6.927411215995742e-139,,3.920932664264042e-46,,3.805490095255444e-06,4.759174788645722e-36,0.10637054141832068,3.903545792098253e-08,,,1.3047512278373044e-07,0.08771006820056614,1.8710013342570944e-11,,,,2.203036042163397e-09,0.0003913325969961548,1.6152479655830503e-33,,5.3467885822959886e-30,0.16870702892235234,2.053761948984832e-62,2.846797161100658e-07,,,0.19599658527077057,0.1589055385667464,0.7467331408629524,0.15384362835354748,2.533891535073767e-12,0.9443634509762692,2.40605406050885e-06,6.819429237140911e-06,,,
Glue($),1.436964423020652e-51,1.9934948619199378e-14,1.7093512366414076e-107,9.891643894193813e-07,0.01654880374917984,0.0,,,2.184483182600799e-59,9.077619917043334e-16,3.543393307285284e-43,,1.973637982770089e-19,,0.06284883690514183,,1.5316281689844089e-22,,3.236840104237662e-54,3.1253289268289415e-09,0.21604137740947832,3.1000365257476593e-06,,,0.002855706386538318,2.066783470545847e-89,0.008190117893010882,,,,4.2893572903864345e-40,0.0019454864329575133,8.95498971704202e-34,,2.997071896615515e-05,0.5674499159520761,8.880570104595237e-13,8.336621077728938e-05,,,2.5897520725519823e-15,0.004387915079858201,0.5409902910968056,0.3610451887251945,3.7690005693734525e-21,0.54330097172422,1.2068421839455658e-05,1.1182728603793925e-05,,,
DocumentDB (with MongoDB compatibility)($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elastic MapReduce($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CloudWatch($),7.937748070018988e-34,9.340184292818615e-34,7.85967599501625e-53,3.853045624351068e-17,3.9559370532861996e-15,2.184483182600799e-59,,,0.0,2.529328144485387e-05,4.233712008487682e-89,,2.3076602623061078e-38,,2.8804273500096884e-12,,6.187090484785696e-11,,2.3199311917551022e-45,1.6678538365811943e-13,0.42174995327413,1.602787231673955e-10,,,0.04591663978531752,6.251117155315526e-61,0.614096188303844,,,,1.2145995789544522e-27,0.003951404001318388,2.9080456975098855e-19,,2.705300270111093e-12,0.9968661829911368,0.00042437609002948557,1.640186164731164e-07,,,1.2556479253295816e-24,0.5660771079663321,0.7529652463337679,0.36850435584746266,8.581942820646417e-47,0.982401958369607,1.4274737445836735e-09,1.4718447545570027e-06,,,
VPC($),6.054764648504598e-118,3.104858877405352e-14,6.156969933919129e-17,2.490442689629758e-43,1.1175204091413592e-52,9.077619917043334e-16,,,2.529328144485387e-05,0.0,0.0025397165628861045,,2.6318911726015025e-20,,2.2654710437718614e-66,,1.1037514484522397e-155,,2.022542200954157e-71,2.7835064911249453e-14,0.005814011264630781,6.875620879556567e-06,,,6.89887535233987e-10,1.7601439927912817e-34,3.164368112722753e-39,,,,1.068019185871031e-73,0.00213375785441711,4.0415075681030433e-153,,5.356548262834893e-12,0.3319599132459827,3.023263078455841e-203,0.01987044041311662,,,0.007375638296028918,0.8298171404224692,0.24278294816048274,0.09237756432795409,2.410368100045612e-07,0.6963738208090403,0.033021756734926355,0.03826909837326042,,,
