date-time,date-time,EC2-Instances($),S3($),Relational Database Service($),EC2-Other($),Glue($),DocumentDB (with MongoDB compatibility)($),Elastic MapReduce($),CloudWatch($),VPC($),OpenSearch Service($),Redshift($),Managed Streaming for Apache Kafka($),SageMaker($),ElastiCache($),DMS($),Elastic Load Balancing($),QuickSight($),Elastic File System($),SNS($),Lambda($),Elastic Container Service for Kubernetes($),Rekognition($),Hardened Red Hat Enterprise 7 (RHEL 7)($),Step Functions($),Glacier($),DynamoDB($),Backup($),AppFlow($),Route 53($),SQS($),EC2 Container Registry (ECR)($),Key Management Service($),API Gateway($),CloudFront($),Athena($),Secrets Manager($),CloudWatch Events($),Cognito($),X-Ray($),Cost Explorer($),Service Catalog($),Systems Manager($),SES($),Simple Workflow Service($),Direct Connect($),CloudTrail($),CodeArtifact($),Elastic Container Service($),Migration Hub Refactor Spaces($),Location Service($)
2023-04-01,2023-04-01,1101.0926934737,708.707227733,1959.621354123,1678.8252368876,425.5818305415,184.4381893865,184.2097167783,1112.2234110652,789.6849618885,642.1223149741,4758.075705047,84.0238748112,42.4327999992,381.694683248,151.5918670797,493.7753415722,58.221720024,51.2232561796,25.1200535724,7.3160875873,140.616,18.6104625,65.44,3.69699e-05,46.9455366351,35.69260523,3.4578003183,0.9227320214,66.437874192,3.7224530088,13.314753658,11.6012924835,1.9485971074,0.0478878156,0.5107932,3.972930546,0.0138649993,0.0,0.0,0.0,0.0,6.515128764,2.3240553373,0.0,74.5945552903,387.69850137,1.3639e-06,3.404e-07,0.0,0.0
2023-04-02,2023-04-02,1021.1852850133,765.4103398062,1951.2969213096,1695.0101687924,631.2379077492,177.3420859288,188.681437212,1139.7320323604,833.6401990241,642.1295565411,126.3190543041,86.4373016317,42.4327999992,381.6946832446,151.5918905498,542.8056897178,57.663720024,51.2868967338,53.0848173708,14.2561474475,140.616,17.132925,64.64,4.19541e-05,64.3741300676,50.9690090197,3.4602187421,0.1714950881,51.454534452,7.6987232283,13.3065725115,11.599812234,1.8947517198,0.0414544174,0.63431115,4.040313696,0.0172530063,0.0,0.0,0.0,0.0,0.005119464,2.3225543114,0.0,74.5660426677,411.247760955,1.477e-06,3.5e-09,0.0,0.0
2023-04-03,2023-04-03,1354.0910546421,1203.0718628067,1971.5377646015,1762.6747453093,844.2705807747,185.9743508563,197.2734292237,1217.1368231389,838.2593249858,642.3614945177,147.5899777984,82.4976668463,45.3290940084,381.6946832424,151.591881455,553.74365926,61.569720024,51.4255300857,9.5900415552,14.1932097778,140.616,21.1400625,77.38,4.07664e-05,80.1032865301,51.2954082929,3.4628320547,0.184152361,51.551373492,1.8765157662,13.3279532096,12.6557534544,1.8959649356,0.1163513587,1.74894405,4.1711817466,0.0039543217,0.0,0.0,0.0,0.0,0.01703574,2.3243284159,0.0,74.5107006047,411.340336875,1.4206e-06,7.9e-09,0.0,0.0
2023-04-04,2023-04-04,1371.8893225728,884.2976374746,2009.2532002055,1716.6156159582,1198.0084596978,184.2704179839,194.2765572258,1099.9895431323,725.14476793,642.5707854032,147.794392201,82.5937113969,45.3801370344,381.6946832438,166.2393818352,510.4569145591,59.058720024,51.4812417583,20.9760529997,14.0859369502,140.616,20.69715,77.1,3.6505e-05,82.8122784539,51.0806622943,3.4650159953,2.8054031977,51.682150464,3.325687334,13.3790087139,12.8403075125,1.8277814836,0.073729203,1.16261625,4.1481626957,0.0026489382,0.0,0.0,0.0,0.0,0.113048196,2.3246275208,0.0,74.4156689584,359.1913332,1.4196e-06,9.7e-09,0.0,0.0
2023-04-05,2023-04-05,1352.4715703718,845.047815893,2043.5121972221,1740.6739850011,740.6261831349,188.7008119879,195.7105782498,1155.4996323553,748.19904204,642.5733628419,146.8888850657,88.4259233273,45.3808629814,381.6946832424,175.0278800369,542.1418197569,64.1737200337,51.6243382323,26.1248862649,14.0405178067,140.616,19.9752375,74.9,3.15685e-05,79.9759516852,51.2150107825,3.4657588289,2.159810257,51.591888012,4.055079164,14.6089519161,12.6405808164,1.8505794046,0.1057295714,0.76302315,4.2372809803,0.0026611193,0.0,0.04093395,-0.0,0.0,0.180040932,2.3273992228,0.0,74.4390858575,392.11946562,1.4101e-06,7.8e-09,0.0,0.0
2023-04-06,2023-04-06,1392.8640630238,712.4117707184,2040.5643657195,1755.9287390463,1108.5200376675,183.3742565826,195.9219183426,1176.3093688512,811.5022915312,642.5759155896,154.3467220226,85.6872999448,45.3807282049,381.6946832464,175.9932228999,538.3840794233,64.731720036,51.6508704506,24.5291101099,14.012279308,140.616,19.899675,71.74,2.74722e-05,70.3490825576,51.0142472088,3.470157946,4.2870580176,51.632334456,3.9522702868,13.5339957153,12.1371688201,1.8507748228,0.0786189848,1.2890823,4.256391964,0.0031533117,0.0,0.0388926,0.0,0.0,0.04676505,2.3261592647,6.8e-08,74.4821797762,401.494721685,1.3709e-06,2.44112e-05,0.0,0.0
2023-04-07,2023-04-07,1247.185370134,669.5122985825,1972.3829346326,1703.4674864099,835.622559888,190.2988895085,198.4409261357,1147.1036266292,649.596274652,642.5838460633,151.1499557114,84.4407797469,45.3808619776,381.6946832432,177.9239024039,456.0719190404,59.151720036,51.7446712573,17.9388963443,13.6883735712,140.616,19.5892875,73.54,2.50142e-05,40.2417389675,50.9465166487,3.4719540999,0.1925658708,51.5677087841,3.1251483782,13.5394214471,12.1423652472,1.7678726658,3.0216519795,1.3377864,4.2657560298,0.0027895572,0.0,0.03817185,0.0,0.0,0.005072964,2.322319402,0.0,74.6305004712,394.948383795,1.2516e-06,3.59739e-05,0.0,0.0
2023-04-08,2023-04-08,1130.3354410692,639.1419920164,1941.9000943311,1660.9753263594,400.5766249782,225.9511617881,195.4317793782,1042.0454025118,610.5232119214,642.6074746367,126.4093063558,84.4071859424,42.6807999984,381.6946832482,177.9239023891,422.2904200662,59.151720036,51.8144171212,8.7861620811,13.6464155012,140.616,19.6311375,68.36,2.0947e-05,99.6921393585,50.8247156819,3.4725325545,0.2022377257,51.520912864,1.6887512165,13.5481246786,11.7659914572,1.8662856383,13.8488778013,0.1716501,4.1616130794,0.0136982694,0.0,0.16666995,0.0,0.0,0.005063664,2.3215002374,0.0,74.5529159374,346.687298595,1.1709e-06,3.53738e-05,0.0,0.0
2023-04-09,2023-04-09,1063.3927643957,632.5116533114,1946.4478746803,1661.92300503,378.8138726919,216.6646391494,199.0191335031,995.0320619783,588.8454102134,642.6641594727,127.0286543467,83.9245619907,42.6807999984,381.6946832518,177.923897371,403.7813057008,59.151720036,51.8992280201,6.5910169686,13.6486366947,140.616,17.1015375,65.08,1.93703e-05,65.6772303561,50.8087160031,3.4573741352,3.9597963015,51.5204540005,1.7521944385,13.547769819,11.7936939888,1.8583073914,12.4315717449,0.15810465,4.0367745294,0.0166161808,0.0,0.19960125,0.0,0.0,0.005054364,2.3212449962,0.0,74.4747419127,329.57518095,1.1718e-06,3.5787e-05,0.0,0.0
2023-04-10,2023-04-10,1338.6034961052,868.2171654956,1978.5465224311,1756.3701051312,1160.2241579307,242.5519460016,210.0108096132,1191.9979942662,748.4500146456,642.6592217174,148.6417702291,84.2041647167,45.3809829374,381.6946832527,177.9238974304,499.9167900207,65.221830036,51.9993380662,8.5773462583,14.0508614453,140.616,20.6401875,74.14,1.66965e-05,91.3560000565,51.5137892362,3.4597255307,0.497647034,51.3621527718,2.1040801428,13.8345991575,14.6203099488,1.9241940566,16.1001908088,1.40309565,4.3891959646,0.0038526792,0.0,0.05699505,0.0,0.0,0.005105514,2.3266498014,0.0,74.4667987431,412.556232825,1.0862e-06,3.58336e-05,0.0,0.0
