date-time,date-time,EC2-Instances($),S3($),Relational Database Service($),EC2-Other($),Glue($),DocumentDB (with MongoDB compatibility)($),Elastic MapReduce($),CloudWatch($),VPC($),OpenSearch Service($),Redshift($),Managed Streaming for Apache Kafka($),SageMaker($),ElastiCache($),DMS($),Elastic Load Balancing($),QuickSight($),Elastic File System($),SNS($),Lambda($),Elastic Container Service for Kubernetes($),Rekognition($),Hardened Red Hat Enterprise 7 (RHEL 7)($),Step Functions($),Glacier($),DynamoDB($),Backup($),AppFlow($),Route 53($),SQS($),EC2 Container Registry (ECR)($),Key Management Service($),API Gateway($),CloudFront($),Athena($),Secrets Manager($),CloudWatch Events($),Cognito($),X-Ray($),Cost Explorer($),Service Catalog($),Systems Manager($),SES($),Simple Workflow Service($),Direct Connect($),CloudTrail($),CodeArtifact($),Elastic Container Service($),Migration Hub Refactor Spaces($),Location Service($)
2023-04-01,2023-04-01,206.308226613,31.5203094665,301.2037811948,86.9704402922,0.00166749,6.7322722324,,14.1769904611,59.3264836856,6.9860759637,,0.0,0.0,1.071360144,,2.2545940132,,0.0,0.0060660777,0.0144180607,2.232,0.044175,9.12,8.64e-07,11.5318953802,0.0991008,0.0,0.0,0.0,0.01207512,0.0323061984,5.9244744816,,0.0351257544,0.0,0.0026691,,,,0.0,0.0,0.0,2.3225875795,0.0,0.0,2.20150623,4.4e-08,,0.0,0.0
2023-04-02,2023-04-02,206.3082258704,31.3695526663,301.2037812321,86.8234751997,0.00187488,6.7318613382,,15.0390709856,58.9674523918,6.9860750914,,0.0,0.0,1.071360144,,2.2417655747,,0.0,0.0117598765,0.0200820153,2.232,0.006975,9.12,9.132e-07,11.6039620789,0.0991008,0.0,0.0,0.0,0.0120564504,0.0323061984,5.9173767216,,0.0281140964,0.0,0.00292485,,,,0.0,0.0,0.0,2.3211901474,0.0,0.0,2.17046934,5.28e-08,,0.0,0.0
2023-04-03,2023-04-03,206.3183855921,31.4775008525,301.2037812209,86.8022656664,0.00183861,6.7319766236,,15.2124735739,57.0310610742,6.986075333,,0.0,2.6992413238,1.071360144,,2.3032956738,,0.0,0.0117589154,0.0243516139,2.232,0.0197625,9.12,8.779e-07,11.6847105653,0.0991008,0.0,0.0,0.0,0.01219742,0.0337044589,5.9367979116,,0.0808350522,0.0,0.00267375,,,,0.0,0.0,0.0,2.3225975675,0.0,0.0,2.19012024,6.16e-08,,0.0,0.0
2023-04-04,2023-04-04,206.3082247231,31.1159207707,301.203781139,86.8011953918,0.00172794,6.7319852478,,15.0003164905,56.4921371232,6.9860745148,,0.0,2.699337036,1.071360144,,2.2571317204,,0.0,0.0116571157,0.0228839934,2.232,0.0104625,9.12,8.162e-07,11.7627518179,0.0991008,0.0,0.0,0.0,0.0121895346,0.034429692,5.9212548216,,0.0383092471,0.0,0.00259005,,,,0.0,0.0,0.0,2.3231841953,0.0,0.0,2.1438918,4.4e-08,,0.0,0.0
2023-04-05,2023-04-05,214.7418610446,31.1329961901,301.2037811923,86.9777217886,0.00141546,6.731888919,,15.4454915934,56.6580281398,6.9860748984,,0.0,2.700062983,1.071360144,,2.3530910301,,0.0,0.0115247447,0.0357406133,2.232,0.067425,9.12,6.906e-07,11.8397370869,0.0991008,0.0,0.0,0.0,0.0117913111,0.034429692,5.9219579016,,0.0635609654,0.0,0.0023436,,,,0.0,0.0,0.0,2.3256303865,0.0,0.0,2.16260433,5.28e-08,,0.0,0.0
2023-04-06,2023-04-06,193.2221516847,31.3731107858,288.4112941065,94.0955401248,0.00124806,6.7319061516,,18.5445342187,54.0747406551,6.9860659589,,0.0,2.6999282065,1.071360144,,2.3095096889,,0.0,0.0116054601,0.043735054,2.232,0.06045,9.12,6.306e-07,11.9140053193,0.0991008,0.0,0.0,0.0,0.0112283835,0.0348451945,5.9370964416,,0.0396642626,0.0,0.00225525,,,,0.0,0.0,0.0,2.3254269789,0.0,0.0,2.16559614,4.26e-08,,0.0,0.0
2023-04-07,2023-04-07,178.3836726812,31.3065873801,278.6159371167,86.9677294642,0.00114576,6.7316784626,,20.0891213701,56.7907283917,6.9860691148,,0.0,2.7000619792,1.071360144,,2.3415134404,,0.0,0.0114091043,0.0448228503,2.232,0.0290625,9.12,5.256e-07,11.9794814193,0.0991008,0.0,0.0,0.0,0.0119563326,0.0351508992,5.9317061616,,1.2063409708,0.0,0.00208785,,,,0.0,0.0,0.0,2.3220225285,0.0,0.0,2.16480099,3.7e-08,,0.0,0.0
2023-04-08,2023-04-08,178.2897437006,31.4915491387,278.615937421,87.0337808901,0.00097278,6.7319416089,,20.2447949236,58.8159436577,6.9860830944,,0.0,0.0,1.071360144,,2.252235173,,0.0,0.010990756,0.0385774024,2.232,0.0127875,9.12,4.806e-07,11.9897216757,0.0991008,0.0,0.0,0.0,0.0113454354,0.0351508992,5.9314745916,,0.4464522703,0.0,0.00192045,,,,0.0,0.0,0.0,2.3213828365,0.0,0.0,2.21390685,4.31e-08,,0.0,0.0
2023-04-09,2023-04-09,178.3836731074,31.1907047149,278.6159310652,87.002556313,0.00086955,6.7320863094,,20.2968837506,56.5666195195,6.9860850197,,0.0,0.0,1.071360144,,2.2773942921,,0.0,0.0107482412,0.0339786093,2.232,0.0244125,9.12,4.206e-07,12.1880202932,0.0991008,0.0,0.0,0.0,0.0113117901,0.0351508992,5.9314745916,,0.7449305247,0.0,0.00166935,,,,0.0,0.0,0.0,2.3211548881,0.0,0.0,2.17031403,3.7e-08,,0.0,0.0
2023-04-10,2023-04-10,178.3836727952,36.3325239905,292.0405332848,84.6500083613,0.00074307,6.7318070634,,24.5717813717,56.6025609012,6.9860844611,,0.0,2.700182939,1.071360144,,2.359891117,,0.0,0.0111523753,0.0375885816,2.232,0.1081125,9.12,3.718e-07,12.1793530582,0.0991008,0.0,0.0,0.0,0.0107191369,0.0351508992,7.5127880016,,0.7097380169,0.0,0.001674,,,,0.0,0.0,0.0,2.3264143878,0.0,0.0,2.75105904,3.44e-08,,0.0,0.0
2023-04-11,2023-04-11,178.1176929597,32.4384741834,329.8155434221,84.4921720162,0.00061659,6.7321110247,,25.708240309,56.9238917762,6.9860862567,,0.0,2.6967948038,1.071360144,,2.3514851138,,0.0,0.0126035114,0.0389979855,2.232,0.0523125,9.12,3.211e-07,12.244789519,0.0991008,0.0,0.0,0.0,0.0106781597,0.0355145526,7.4725701516,,0.6895309189,0.0,0.00135315,,,,0.0,0.0,0.0,2.324596244,0.0,0.0,2.72435967,1e-08,,0.0,0.0
2023-04-12,2023-04-12,179.2169536724,32.5265001541,348.2977393507,85.8511675763,0.00049662,6.7315222314,,24.2240552308,56.6927881215,6.9860857293,,0.0,2.7001023619,1.071360144,,2.3424450944,,0.0,0.0106766778,0.0400520007,2.232,0.0941625,9.12,2.55e-07,12.3165631659,0.0991008,0.0,0.0,0.0,0.0100319385,0.0360668036,7.5100035816,,0.4390781062,0.00104625,0.0010788,,,,0.0,0.0,0.0,2.3256260953,0.0,0.0,2.75042013,1.2e-09,,0.0,0.0
2023-04-13,2023-04-13,76.8571862051,27.3087917155,348.2977390381,87.1900369664,0.00107508,6.7322923458,,21.3500236045,56.5812662006,6.9861046663,,0.0,2.7008864036,1.3168801405,,2.3093548615,,0.0,0.0108587756,0.0379574797,2.232,0.067425,9.12,5.334e-07,8.0437053854,0.0991008,0.0,0.0,0.0,0.010759642,0.0361966368,5.9087612016,,0.5288800923,0.0,0.00176235,,,,0.0,0.0,0.0,2.325300722,0.0,0.0,2.11924494,0.0,,0.0,0.0
2023-04-14,2023-04-14,15.3413322059,27.5438714496,348.2977390549,86.9400962896,0.00198183,6.7316916402,,23.958644678,56.3944462306,6.9861317405,,0.0,2.7000855313,2.4180001415,,2.2622843971,,0.0,0.0114552545,0.034483839,2.232,0.02325,9.12,9.479e-07,8.2426569698,0.0991008,0.0,0.0,0.0,0.0121489762,0.0361966368,5.9342115816,,0.467506006,0.0,0.00300855,,,,0.0,0.0,0.0,2.3214914321,0.0,0.0,2.13108105,0.0,,0.0,0.0
2023-04-15,2023-04-15,15.3413322763,27.7975472797,348.2977389209,85.8253831787,0.00211668,6.7320239106,,28.1777334763,56.2844645263,6.9861309657,,0.0,0.0,2.723040144,,2.2719034707,,0.0,0.0113440206,0.0368977826,2.232,0.06045,9.12,1.0285e-06,8.5162341724,0.0991008,0.0,0.0,0.0,0.0116726589,0.0361966368,5.9434046316,,0.4665371744,0.0,0.00292485,,,,0.0,0.0,0.0,2.324122531,0.0,0.0,2.14186533,0.0,,0.0,0.0
2023-04-16,2023-04-16,15.3413323534,27.8806107661,348.297738898,85.4930091887,0.0021111,6.731899923,,28.9413674218,56.1015654254,6.9861304043,,0.0,0.0,2.723040144,,2.2286202734,,0.0,0.0113520472,0.0309837948,2.232,0.0127875,9.12,9.479e-07,8.6406321745,0.0991008,0.0,0.0,0.0,0.0116566343,0.0361966368,5.9089453416,,0.4016857526,0.0,0.00284115,,,,0.0,0.0,0.0,2.3209174953,0.0,0.0,2.11439127,0.0,,0.0,0.0
2023-04-17,2023-04-17,15.3413322031,28.1637246313,348.2977388818,85.4540022235,0.00208599,6.7317057576,,29.3887947987,56.0045462282,6.9861311778,,0.0,4.5971451309,2.723040144,,2.2878373338,,0.0,0.0116718544,0.0392012894,2.232,0.0895125,9.12,9.296e-07,8.8383662331,0.0991008,0.0,0.0,0.0,0.0112065286,0.0361966368,5.9298982416,,0.4697957254,0.0,0.00276675,,,,0.0,0.0,0.0,2.3227158308,0.0,0.0,2.13803094,0.0,,0.0,0.0
2023-04-18,2023-04-18,15.877777123,28.363487077,342.8176156453,85.6301141155,0.00199578,6.7317819848,,29.2742868111,55.2781221695,6.9861304914,,0.0,3.5050130934,12.4248001288,,2.2938655422,,0.0,0.0124049111,0.0400729634,2.232,0.0558,9.12,8.804e-07,9.036588576,0.0991008,0.0,0.0,0.0,0.0119579543,0.0361966368,5.9441635116,,0.5054742669,0.0,0.00275745,,,,0.0,0.0,0.0,2.3244561363,0.0,0.0,2.13823275,0.0,,0.0,0.0
