date-time,date-time,Relational Database Service($),Tax($),EC2-Other($),OpenSearch Service($),EC2-Instances($),Support (Business)($),ElastiCache($),CloudWatch($),Certificate Manager($),Elastic File System($),Elastic Load Balancing($),Managed Streaming for Apache Kafka($),VPC($),Elastic Container Service for Kubernetes($),CIS  Linux 2 Benchmark - Level 2($),S3($),EC2 Container Registry (ECR)($),CloudTrail($),Secrets Manager($),Key Management Service($),FSx($),Inspector($),DynamoDB($),Cost Explorer($),Lambda($),SQS($),SNS($),CloudFront($),Service Catalog($),Athena($),Glue($),Fault Injection Simulator($),Direct Connect($),CloudWatch Events($),SES($),Simple Workflow Service($),Glacier($),Step Functions($),Systems Manager($),CloudShell($),CodeArtifact($),Migration Hub Refactor Spaces($),X-Ray($),Location Service($),Refund($),Total costs($)
2023-04-01,2023-04-01,648.1827621951,11276.9,300.4190824702,364.1692963349,219.5088039109,4687.4345848116,105.729840032,93.6574705456,1488.0,14.9568274812,28.5146461005,42.4618262147,19.104386913,24.552,17.68,8.3092947008,0.3050077392,0.0,1.4628450516,0.79564602,0.0,1.8625937535,0.0792818975,0.0,0.0,0.000348192,0.0020692501,0.0,0.0,0.0,0.00165912,0.0,0.0,9.858e-05,0.0,0.0,1.9143e-06,7.998e-07,0.0,0.0,4.4e-08,0.0,0.0,0.0,-328.12,19015.9703740725
2023-04-02,2023-04-02,640.6350530131,0.0,298.5282466892,364.1765700144,208.9359767015,0.0,105.7298400292,103.5917551258,0.0,15.0443510398,28.6537408176,42.4617140839,32.4433178688,24.552,15.82,8.3820683156,0.3050077392,0.0,1.4157824016,0.79608963,0.0,1.724592,0.07928064,0.0,0.0,0.000361584,0.0002417146,0.0,0.0,0.0,0.0018507,0.0,0.0,0.0,0.0,0.0,1.9188e-06,8.818e-07,0.0,0.0,5.28e-08,0.0,0.0,0.0,0.0,1893.2778429617
2023-04-03,2023-04-03,652.4039349844,0.0,306.4842888386,364.1527628419,266.3883133634,0.0,105.7298400288,104.3645531868,0.0,15.1178267965,28.4811257383,42.463278959,21.4870297574,24.552,19.06,8.4509012957,0.3056633318,0.0,1.5273219516,0.79613148,0.0,2.6166493567,0.07928064,0.0,0.0,0.000361956,0.0020529079,2.70122e-05,0.0,0.0,0.00186744,0.0,0.0,0.0001953,0.0,0.0,1.9188e-06,8.818e-07,0.0,0.0,5.28e-08,0.0,0.0,0.0,0.0,1964.4654100204
2023-04-04,2023-04-04,647.3306316528,0.0,306.289194528,364.1455350958,283.1106986281,0.0,105.7298400288,104.0807272955,0.0,15.1889532531,28.5109253829,42.4653560063,16.9730164545,24.552,18.78,8.206695586,0.3064453042,0.0,1.5383047338,0.79388832,0.0,2.1812302737,0.07928064,0.0,0.0,0.000261144,0.0032590824,2.0118e-06,0.0,0.0,0.00165354,0.0,0.0,0.00014694,0.0,0.0,1.9279e-06,6.736e-07,0.0,0.0,5.15e-08,0.0,0.0,0.0,0.0,1970.2680485547
2023-04-05,2023-04-05,643.5898036538,0.0,303.7275912791,364.1481081674,262.9244193125,0.0,105.7298400288,103.4549399621,0.0,15.263354304,28.5019637895,42.463925063,16.9995926612,24.552,18.98,8.2627500989,0.3068719857,0.0,1.5393230837,0.79332195,0.0,2.021152504,0.07928064,0.0,0.0,0.0002883,0.0032025705,1.16968e-05,0.0,0.0,0.00143034,0.0,0.0,0.00010509,0.0,0.0,1.9097e-06,7.248e-07,0.0,0.0,5.15e-08,0.0,0.0,0.0,0.0,1943.343279167
2023-04-06,2023-04-06,664.6615696458,0.0,309.5000839676,364.1507299551,292.6754841985,0.0,105.7298400328,104.3474508688,0.0,15.3364008496,28.5203797752,42.4638110005,21.114961525,24.552,20.14,8.3311613958,0.3082173776,0.0,1.5170516508,0.79230639,0.0,2.7868366614,0.07928064,0.0,0.0,0.000241056,0.0024289152,0.0009578765,0.0,0.0,0.00131688,0.0,0.0,0.00038037,0.0,0.0,1.8833e-06,6.006e-07,0.0,0.0,5.88e-08,0.0,0.0,0.0,0.0,2007.0128935749
2023-04-07,2023-04-07,643.1959509575,0.0,312.1195555767,364.158536569,273.4245591156,0.0,105.7298400296,103.8930023318,0.0,15.4111487486,28.4889712935,42.4623576363,19.1378987311,24.552,20.52,8.4017078657,0.3093766416,0.0,1.5295276008,0.79108995,0.0,3.441261394,0.07928064,0.0,0.0,0.00023436,0.0023469844,0.0005621167,0.0,0.0,0.00116622,0.0,0.0,0.0001674,0.0,0.0,1.9188e-06,5.706e-07,0.0,0.0,3.7e-08,0.0,0.0,0.0,0.0,1967.6505446893
2023-04-08,2023-04-08,631.5324440299,0.0,301.1111019803,364.1819669048,242.4521365873,0.0,105.7298400346,104.0785668785,0.0,15.4968036099,28.5239110024,42.4623397524,16.9339027106,24.552,17.34,8.4773602982,0.3093766416,0.0,1.4555461008,0.79058217,0.0,1.7874593307,0.07928064,0.0,0.0,0.00020088,0.0008254815,0.0010862097,0.0,0.0,0.00096441,0.0,0.0,4.464e-05,0.0,0.0,1.9331e-06,5.01e-07,0.0,0.0,3.7e-08,0.0,0.0,0.0,0.0,1907.2977427643
2023-04-09,2023-04-09,633.504974882,0.0,300.5442025107,364.238531187,237.0869812311,0.0,105.7298400382,99.5680782254,0.0,15.5869973418,28.6802166554,42.4623681856,16.9376685744,24.552,17.54,8.541527317,0.3093766416,0.0,1.4548532508,0.78939921,0.0,1.8079774468,0.07928064,0.0,0.0,0.000174096,0.0022469841,0.0004482669,0.0,0.0,0.00086118,0.0,0.0,0.00011532,0.0,0.0,1.9612e-06,4.356e-07,0.0,0.0,3.7e-08,0.0,0.0,0.0,0.0,1899.4181216186
2023-04-10,2023-04-10,643.279988297,0.0,307.285863643,364.2335552967,291.3775400924,0.0,105.7298400391,100.6003014628,0.0,15.6733501405,28.914892053,42.4630953609,17.0825207454,24.552,19.32,8.5848477315,0.3112097669,0.0,1.5199486008,0.78922065,0.0,4.2333739841,0.07928064,0.0,0.0,0.00015438,0.0031469115,0.0028505967,0.0,0.0,0.00074307,0.0,0.0,0.00010695,0.0,0.0,1.94e-06,4.037e-07,0.0,0.0,3.94e-08,0.0,0.0,0.0,0.0,1976.0378327954
