,date-time,EC2-Instances($),S3($),Relational Database Service($),EC2-Other($),Glue($),DocumentDB (with MongoDB compatibility)($),Elastic MapReduce($),CloudWatch($),VPC($),OpenSearch Service($),Redshift($),Managed Streaming for Apache Kafka($),SageMaker($),ElastiCache($),DMS($),Elastic Load Balancing($),QuickSight($),Elastic File System($),SNS($),Lambda($),Elastic Container Service for Kubernetes($),Rekognition($),Hardened Red Hat Enterprise 7 (RHEL 7)($),Step Functions($),Glacier($),DynamoDB($),Backup($),AppFlow($),Route 53($),SQS($),EC2 Container Registry (ECR)($),Key Management Service($),API Gateway($),CloudFront($),Athena($),Secrets Manager($),CloudWatch Events($),Cognito($),X-Ray($),Cost Explorer($),Service Catalog($),Systems Manager($),SES($),Simple Workflow Service($),Direct Connect($),CloudTrail($),CodeArtifact($),Elastic Container Service($),Migration Hub Refactor Spaces($),Location Service($)
date-time,1.0,,0.8210186588494864,,,0.6398079536347766,,,0.019150025692335836,,,,,,,,,0.49025543416723993,,0.05805220339007487,0.16015160975137344,,,,0.7899540738159812,0.7541624003506959,,,,,0.856638349536855,,0.8539586913925248,,,0.609350432893738,0.7740882366048891,,,,0.2746693272972077,0.6091485030016667,,,0.785702648266152,,0.02327855241607966,,,,
EC2-Instances($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3($),0.8210186588494864,,1.0,,,0.48452240828768295,,,0.12698657633492075,,,,,,,,,0.46295531333509726,,-0.05324757401039916,0.18066707571043358,,,,0.7207812018008376,0.5724886203348308,,,,,0.7724112429628327,,0.7666663365270504,,,0.4810609014611346,0.8184808797891235,,,,0.18017247066559783,0.38374159157896376,,,0.7188259955617592,,0.14175363705984462,,,,
Relational Database Service($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2-Other($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glue($),0.6398079536347766,,0.48452240828768295,,,1.0,,,-0.1393222920385442,,,,,,,,,0.7015578596990613,,-0.19715683341658696,0.2088580097210222,,,,0.27466144682131133,0.29879254041324,,,,,0.7010261809131051,,0.6559106105012965,,,0.9062684656034371,0.2611656714449144,,,,-0.24275798232271995,0.5202902640054855,,,0.28129011468694054,,-0.07693799581608639,,,,
DocumentDB (with MongoDB compatibility)($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elastic MapReduce($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CloudWatch($),0.019150025692335836,,0.12698657633492075,,,-0.1393222920385442,,,1.0,,,,,,,,,-0.10177454970103728,,0.4018664406769775,-0.2717651067060988,,,,0.22157820914969442,0.2187790272500828,,,,,-0.10746506053266877,,-0.19991705698553836,,,-0.13238107095724466,0.11995658976595744,,,,0.32404641723302446,-0.040147142911796795,,,0.21502356309406462,,0.7894269122280858,,,,
VPC($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenSearch Service($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redshift($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managed Streaming for Apache Kafka($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SageMaker($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElastiCache($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMS($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
