,std,mean,volatility
CloudShell($),6.750188171438434e-07,6.935454545454545e-08,973.2870610279563
Tax($),13.501590631808103,2.324823232323232,580.7577300539858
CloudTrail($),9.278748708403546,1.6905587627272725,548.8569171907827
QuickSight($),0.5937840682564661,0.1838636374204545,322.9480698777956
CloudWatch($),0.6037244317798716,0.2113754886431818,285.61704843602047
Athena($),0.05439930060715437,0.02189142335858586,248.49595074784781
Glue($),0.006826362301160666,0.003056139116161616,223.3655616349786
SNS($),0.00280659223526082,0.0013537737156565656,207.31620083934433
Config($),0.030282284731306654,0.017419295454545455,173.84333832746768
Service Catalog($),0.002391849909256307,0.0014308813131313127,167.1592107120352
Cost Explorer($),0.10554335465728285,0.07618636363636362,138.53313062825745
SQS($),0.3067085361925708,0.2307808275308081,132.9003537573444
Key Management Service($),0.48647640368796585,0.3690151960330808,131.83099474428016
Total costs($),17.265738482759645,15.24136816818611,113.28207738462142
Glacier($),3.416406855596444e-08,3.3161868686868685e-08,103.02214533975462
Secrets Manager($),0.00016033159030350824,0.00016502272727272728,97.15727824479221
Step Functions($),4.18396016661811e-07,4.669510101010101e-07,89.60169431292252
Simple Workflow Service($),4.312442972548678e-07,4.814136363636363e-07,89.5787457356374
Lambda($),0.11538509365225351,0.14045866433005047,82.148790323907
S3($),1.9165006635241306,4.588505526083586,41.76742629227944
Kinesis Firehose($),0.41624667860287806,1.6542807235671715,25.161792232295
Kinesis($),0.4388220627045067,3.726202159324495,11.776657409915156
date-time,,2023-10-15 12:00:00,
CodeArtifact($),0.0,0.0,
Systems Manager($),0.0,0.0,
