,date-time,EC2-Instances($),S3($),Relational Database Service($),EC2-Other($),Glue($),DocumentDB (with MongoDB compatibility)($),Elastic MapReduce($),CloudWatch($),VPC($),OpenSearch Service($),Redshift($),Managed Streaming for Apache Kafka($),SageMaker($),ElastiCache($),DMS($),Elastic Load Balancing($),QuickSight($),Elastic File System($),SNS($),Lambda($),Elastic Container Service for Kubernetes($),Rekognition($),Hardened Red Hat Enterprise 7 (RHEL 7)($),Step Functions($),Glacier($),DynamoDB($),Backup($),AppFlow($),Route 53($),SQS($),EC2 Container Registry (ECR)($),Key Management Service($),API Gateway($),CloudFront($),Athena($),Secrets Manager($),CloudWatch Events($),Cognito($),X-Ray($),Cost Explorer($),Service Catalog($),Systems Manager($),SES($),Simple Workflow Service($),Direct Connect($),CloudTrail($),CodeArtifact($),Elastic Container Service($),Migration Hub Refactor Spaces($),Location Service($)
date-time,1.0,-0.27912448320775335,-0.18016907920867323,-0.1252959595503112,-0.8005926320926976,-0.6557866297256912,0.6576610206689243,,0.4819081494650682,0.3971494162062522,-0.07709655414899817,,0.8642702075888874,-0.586491232164933,-0.28583719420264797,,-0.7213918606433565,,0.5745900810321855,-0.6309134475468561,0.15143317633827288,0.3586821422171598,0.4948534890523664,-0.9172992940003108,0.2035691135988337,-0.48960071010706907,0.5837977495804347,0.5665169925738309,0.0869291381699617,0.06897099336417475,-0.6680710333682586,0.08601284697914888,-0.26224593157678844,,-0.37511892624365456,-0.018247809466620555,0.7456204077173701,,,,0.27382210481484615,0.002061755305754682,0.02882966354497464,0.5273545737331219,0.437333417402295,0.011270090648450524,-0.02260068237567779,-0.27382760962131025,,,
EC2-Instances($),-0.27912448320775335,1.0,0.580625673954429,0.05430952082007335,0.4200208465437391,0.356307226173807,-0.4824780099840579,,-0.4691548613471775,0.22137815234910269,-0.13763714033208108,,-0.28270930349664536,0.33575183076258974,-0.25690485467397606,,0.06390265875842943,,0.17690592751993356,0.11003732933377017,0.2938971604488271,-0.027182397167510867,-0.27666152301145847,0.14938702801939588,-0.10057257179938962,0.3196833057942879,0.13980003949889558,0.20509736479794285,0.07475709131798611,-0.03490873999747438,-0.00039879234085890645,-0.12781699267788785,0.6133250633346232,,-0.10160145677990134,-0.03361149561726416,-0.125001694057834,,,,-0.35825170639691717,0.033419870569052455,-0.01789121143660257,-0.2997515709761974,-0.3867353825310517,-0.027055208496440157,-0.12945963607256006,0.8230088402434464,,,
S3($),-0.18016907920867323,0.580625673954429,1.0,-0.03012018714481431,0.1196414978907749,0.18836431574695794,-0.3474402123059382,,-0.058188722472280546,0.5917771406133125,-0.2708465739116331,,-0.05217356552790888,0.08652618559097164,-0.47943626953459056,,-0.13014286982900616,,0.05476925668175136,0.17684021840892442,-0.019170489180394427,-0.05571680223099438,-0.19816733294233926,0.07595954251544035,0.10090652572291911,0.19248311833973847,0.04279003510144777,0.07290340034535955,0.014533529055168576,-0.0344901962720062,0.015290027926245094,0.08919269078145117,0.9527562627010374,,-0.17216450565141675,-0.019167724878647756,-0.06741255182673843,,,,-0.05119645677989929,-0.1082346691522477,-0.03581748499161211,-0.21344180325371465,-0.37863934405171124,0.016298482461406822,0.20987606218473032,0.5822650441224739,,,
Relational Database Service($),-0.1252959595503112,0.05430952082007335,-0.03012018714481431,1.0,0.16371191439684182,0.15674620024331232,-0.047779760541947734,,-0.0950716820041366,-0.11015115374097181,0.04965705806465168,,-0.15081169298564467,0.16686781932381892,0.18326921857037665,,0.08883917932174167,,-0.04800034209965854,0.05683588540300487,0.06773001221998462,-0.06559306317790235,-0.0764844713356446,0.1071063770571654,-0.03795480863260872,0.03366976688072596,-0.0573075265359157,-0.03766972422939982,-0.0021954794814098696,-0.008104501867741072,0.0581529696493719,-0.024951592225883116,-0.010621655357642023,,0.028748190548640425,-0.0015987380407998094,-0.10011961982413836,,,,-0.09453830121893089,0.16551600672371838,-0.004426420445662248,-0.05734721804279644,0.03645898578342976,-0.004752086315495589,-0.05197603912607751,-0.0031510767483925823,,,
EC2-Other($),-0.8005926320926976,0.4200208465437391,0.1196414978907749,0.16371191439684182,1.0,0.6644316642518978,-0.5417417001766414,,-0.579677786007911,-0.4642568819761296,0.13415564185509687,,-0.7769201125707553,0.6091050328580669,0.39803589319814614,,0.7228164545410303,,-0.3603002461456749,0.4101137533266006,0.1169666749801741,-0.2283565020732528,-0.44782661799376716,0.7363211060099734,-0.2449113073624041,0.33406517865756774,-0.3950135123826296,-0.3585333532451652,-0.0515217190926355,-0.05900742447168045,0.49162348056491423,-0.18354074864615183,0.22711304264021573,,0.4107093436002254,-0.005881261338755697,-0.5768910400166446,,,,-0.42166867057941376,0.1239720089244585,-0.03881362007989993,-0.40517179207015974,-0.3111686281446496,-0.03365013684257232,-0.21039266916589675,0.3007429553167719,,,
Glue($),-0.6557866297256912,0.356307226173807,0.18836431574695794,0.15674620024331232,0.6644316642518978,1.0,-0.7514482554478903,,-0.5605863443561118,-0.261477878527032,0.07354244818084611,,-0.5845356523441754,0.6406804521746831,0.3215351176582576,,0.35689504913281755,,-0.22251903792792935,0.32551858765832287,0.30428770828351814,-0.1730619163583016,-0.34109409457265955,0.46023933006117795,0.18301134698880991,0.4905590998741637,-0.23518208753868408,-0.21077945483883784,-0.02545463313209807,-0.05114484431790404,0.22049827915969894,-0.14074837891751457,0.27204512809510506,,0.06617481297327227,-0.02667297059006214,-0.4025997272799588,,,,-0.3832830896609245,0.15598312068631648,-0.02767586823809199,-0.4250635778297025,-0.40800609303576163,-0.029993820893175063,-0.16401173317980353,0.21224612712054622,,,
DocumentDB (with MongoDB compatibility)($),0.6576610206689243,-0.4824780099840579,-0.3474402123059382,-0.047779760541947734,-0.5417417001766414,-0.7514482554478903,1.0,,0.600229879048193,0.13741988779802436,0.10216452744004094,,0.5425814482427018,-0.5671334880758643,-0.04424301318616087,,-0.301768813082262,,0.13348600711274022,-0.3695616169015401,-0.24807372078840853,0.13194374181833698,0.3404715807565301,-0.4455587654992708,-0.07224117738406483,-0.6711250177202037,0.12893265130555415,0.11860010947864554,0.012083947817553247,0.04083067985345501,-0.1353985349621725,0.13140350471307022,-0.4096101597228729,,-0.04768055952513513,0.032481266707237166,0.36860235464803875,,,,0.37099484129816557,0.0043132717722952135,0.025940347927465388,0.4661649002459876,0.610435119086446,0.026075631851943244,0.133585858370156,-0.3303258346749274,,,
Elastic MapReduce($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CloudWatch($),0.4819081494650682,-0.4691548613471775,-0.058188722472280546,-0.0950716820041366,-0.579677786007911,-0.5605863443561118,0.600229879048193,,1.0,0.4608658013790014,-0.10558368371544194,,0.5382369358582211,-0.47127462042345897,-0.23343473909870038,,-0.4595528082623813,,-0.08634886922399704,-0.03832358095318864,-0.3660641298188284,-0.04990690526863635,0.4210883801046396,-0.3838933505118245,0.1694286659830043,-0.4258371945136057,-0.04326038302945283,-0.08376853895011248,-0.04701748454513076,0.10248071294619959,-0.07525197474317925,0.32112750076162766,-0.17001800532763595,,-0.17289373889832427,0.003294307247198122,0.315422440582124,,,,0.5454575097410274,-0.1817623979787847,0.08519554268650152,0.3497577354290527,0.3655022070867006,0.24388937214268133,0.30943884635926655,-0.25597667961708165,,,
VPC($),0.3971494162062522,0.22137815234910269,0.5917771406133125,-0.11015115374097181,-0.4642568819761296,-0.261477878527032,0.13741988779802436,,0.4608658013790014,1.0,-0.36755163422006254,,0.5452044213189712,-0.29546900399904563,-0.6499061265561702,,-0.6295244319064106,,0.22810301181780793,-0.06933721666142663,-0.03680181883874352,0.18478295273410011,0.15481343717438642,-0.46473975442331766,0.26005822441304344,-0.0975085421299056,0.275984176945068,0.22177863059138095,0.015443998663764684,0.05809034358337074,-0.2852256009304511,0.17840806590657177,0.5306033782663213,,-0.4348859864707484,-0.02355183131919449,0.38010598301796367,,,,0.2715717632933112,-0.14673527426532612,0.06031806115862367,0.07887069094928333,-0.09691390344545796,0.08626200266598467,0.3246263398356856,0.317278703204951,,,
