,date-time,S3($),Tax($),Relational Database Service($),EC2-Other($),CloudWatch($),Support (Business)($),EC2-Instances($),Glue($),Redshift($),DocumentDB (with MongoDB compatibility)($),Elastic MapReduce($),VPC($),OpenSearch Service($),ElastiCache($),Elastic Load Balancing($),DMS($),CloudTrail($),Managed Streaming for Apache Kafka($),Elastic File System($),QuickSight($),Rekognition($),Elastic Container Service for Kubernetes($),SNS($),Glacier($),Hardened Red Hat Enterprise 7 (RHEL 7)($),SageMaker($),DynamoDB($),Lambda($),Backup($),Kinesis($),Route 53($),AppFlow($),SQS($),Step Functions($),EC2 Container Registry (ECR)($),Key Management Service($),API Gateway($),Managed Workflows for Apache Airflow($),CloudFront($),Secrets Manager($),Athena($),CIS  Linux 2 Benchmark - Level 2($),Transfer Family($),Config($),Cognito($),CloudWatch Events($),Kinesis Firehose($),Cost Explorer($),RHEL 8 with Support by Supported Images($),X-Ray($),Direct Connect($),Service Catalog($),SES($),Systems Manager($),Textract($),Red Hat Enterprise Linux (RHEL) 8.4 with support by ProComputers($),Simple Workflow Service($),CloudShell($),Elastic Container Service($),CodeArtifact($),IoT($),CodeCommit($),Migration Hub Refactor Spaces($),Location Service($),Refund($),Total costs($)
count,396,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0
mean,2023-10-15 12:00:00,725.0632700583992,685.8135353535355,483.7836939194872,390.9626588812818,273.436610675849,266.6751897314298,241.67615393746618,240.45719548360734,234.34870013852446,186.9257291894174,152.6241613462904,76.29610341631995,63.93981750654647,54.37179332443737,53.75668971416768,48.96755345407929,43.597571755151506,41.53947385952525,37.3871584278,36.85625915282348,30.70202659560606,21.759545016321212,20.51588324147828,20.178072235975506,18.28020202020202,15.48449824224192,13.236200240785355,11.718293646808839,8.819431412524494,6.246856958919951,5.687285428045201,5.268235257127273,4.015687561475758,2.4292007692944444,2.1265113894343437,1.8884394676941918,1.2428566731047979,1.1792884926848484,1.0772486828825758,0.8847710744545455,0.5739612189393939,0.5376262626262627,0.397624355755303,0.22841974242424237,0.13209745833333333,0.08852741567727272,0.07456778478560606,0.07306136363636362,0.035883838383838386,0.03038737189393939,0.0075351592103535345,0.004836469696969697,0.0019434382194444446,0.0018266890909090908,0.0017261363636363637,0.000505050505050505,7.120502525252525e-07,2.4104419191919195e-07,6.642853535353535e-08,1.9946717171717172e-08,1.8252525252525253e-08,0.0,0.0,0.0,-18.667247474747473,4514.743137071717
min,2023-04-01 00:00:00,1.4123461677,0.0,351.0188356162,24.5219174331,73.5666574323,0.0,0.049825725,100.9834315548,40.2009105821,111.5117899993,103.956810921,50.5557851558,49.6566546819,27.8776848558,32.5147935672,26.5885236576,0.0,30.7517274238,22.4491119717,29.391720012,1.0032375,20.088,0.0022206822,15.0740017823,15.82,0.0,1.3062618365,1.0848e-06,2.9501229657,0.0,5.600350632,0.1644018357,0.051625324,0.0,1.3461568488,1.32383397,0.9989548604,0.0,0.000317847,0.65636515,0.092907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.104e-07,0.0,0.0,0.0,0.0,0.0,-701.6,1948.0706586644
10%,2023-05-10 12:00:00,383.65757031725,0.0,369.6228840014,36.84486085985,100.35013025745,0.0,0.18000708285,135.8565880004,43.78742225085,116.2492158869,116.62138965385,62.18604243555,51.814377158650004,36.18955702055,38.61475715325,37.6315250346,0.0,33.2857174768,26.57779263275,31.1540399928,19.86421875,20.088,7.45115627765,15.0740018039,16.28,0.0,7.67812295895,0.00074384665,3.04609519225,0.0,5.642171802,0.9783986887,1.61974261085,7.149999999999999e-07,1.4905434024,1.40659932,1.1327579057500001,0.0,0.1201537718,0.6945717,0.131206725,0.0,0.0,0.0,0.0,3.72e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2699.2886303385003
20%,2023-06-19 00:00:00,625.1019606894,0.0,395.4631647398,391.5870405714,108.1791117928,0.0,54.1960073544,149.2518777964,45.2288500607,126.4350876753,123.1588939676,66.1666275122,56.765050832,45.1059301148,40.5533189002,37.631525492,0.0,34.5998434675,28.4612996583,32.9220002064,22.5141375,20.088,8.3657468514,15.0740018043,16.32,0.0,8.3420727889,0.0037291648,4.1142536084,0.0,5.660029848,1.9471498289,1.8744877874,8.004e-07,1.62302298,1.4794874112,1.1759212036,0.0,0.3725600276,0.7135176984,0.1498137,0.0,0.0,0.0,0.0,9.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.638e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2982.1757281602
30%,2023-07-28 12:00:00,703.6505785513,0.0,420.7742136536,426.6763132057,118.75358866844999,0.0,61.343684656549996,158.71712271785,47.76413378545,160.7981138761,129.1023195554,69.9058948973,62.13272505645,47.296082293,41.82283299875,37.6315262601,0.0,35.2823946896,31.6240807041,34.796999496,24.89435625,20.088,10.188447530249999,15.074001844449999,16.8,0.0,8.658667801250001,5.6211756002,6.9305176713000005,0.0,5.664913092,2.29161042495,2.4892525609,9.598000000000001e-07,1.6533128022499999,1.5355424076,1.21043052465,0.0,0.5068119427,0.73392942385,0.17114790000000002,0.0,0.0,0.0,0.0,2.976e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3121.94354225115
40%,2023-09-06 00:00:00,744.1397204086,0.0,427.3700111123,447.6421477007,138.7064947846,0.0,118.3601885505,175.90075101,50.7532325347,180.2999225608,131.3999278403,72.2452202873,62.3349510482,47.7424800946,43.9002322762,38.418124857,7.62358107,36.1647653172,32.8017489626,35.534639424,28.906725,20.088,15.5953380404,15.0740056234,17.28,0.0006164584,9.9551109974,12.7238532925,7.4388889782,0.0,5.674408764,2.8748483938,3.1411520795,1.0237e-06,1.7214737736,1.56785574,1.2339896697,0.0,0.6023594145,0.7721959968,0.20570205,0.0,0.0,0.0,0.0,0.03536883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.298e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3253.6286130387
50%,2023-10-15 12:00:00,770.56098255705,0.0,436.93604824875,459.44007919525,174.93485844884998,0.0,166.0782640886,195.09730078085,52.3524157059,183.96053315125,140.8541459301,75.07592261545,62.8340826055,47.893605100900004,45.482071956249996,38.4181283444,10.0062822225,37.40691885985,33.68387564335,36.5936402352,31.245093750000002,20.088,16.8669257231,15.0740059255,17.76,0.00439287525,11.957661369,13.5484221418,8.199801306249999,0.0,5.6852373643,3.58735658105,3.5735871994,2.8968e-06,1.7521014096,1.6173320526000001,1.2467487797499999,0.0,0.8144972633,0.810577409,0.2566614,0.0,0.0,0.0,0.0,0.037836585,0.0,0.0093,0.0,0.0,0.0,0.001302,0.0,0.00047150999999999996,0.0,0.0,7.6235e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3399.63724384215
60%,2023-11-24 00:00:00,790.2916282924,0.0,445.3425975857,466.8502159168,232.3836089458,0.0,226.7102235539,210.3153439557,53.4410398187,188.0890399438,159.3354969606,77.3445031025,63.0596693398,57.1122300905,48.546645569,38.444348992,12.94184652,43.6654393096,34.505999679,37.7096402352,34.09473,20.088,20.7498782994,15.57646853,19.2,0.0768,13.5940878247,14.5749761351,9.767059641,1.1539499811,5.690159244,4.2027930286,4.2090436922,9.5514e-06,1.7768143584,1.7247727404,1.2626461324,0.0,1.1424979481,0.9726761508,0.30597,0.0,0.0,0.0,0.0,0.04569555,0.0,0.0093,0.0,4.65e-06,0.0,0.001302,0.0,0.00159588,0.0,0.0,8.82e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3599.6169127113
70%,2024-01-02 12:00:00,817.41583168905,0.0,464.00093167805,475.0698132659,307.48557125745003,0.0,287.99322164215005,228.22159000214998,55.3852355652,195.4004271792,174.9989043066,81.3794743332,72.4886066438,62.1063300135,53.51443711695,38.4723788293,24.82491873,46.8044093844,35.50473388895,38.680191302400004,36.2269875,24.552,24.53853558455,15.5764685324,19.66,42.408,14.909269417600001,15.3771475467,10.28471843405,1.15617087785,5.692941618000001,5.1192305179,4.84790542565,1.8269450000000002e-05,1.83220288105,1.7975932908,1.2814446833500002,0.0,1.342016014,1.04404075865,0.389225925,0.96,0.0,0.0,0.23187225,0.049396485000000004,0.0,0.1395,0.0,0.053621475,0.0,0.003906,0.0,0.00297972,0.0,0.0,9.524e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3796.3109417221003
