date-time,date-time,EC2-Instances($),S3($),Relational Database Service($),EC2-Other($),Glue($),DocumentDB (with MongoDB compatibility)($),Elastic MapReduce($),CloudWatch($),VPC($),OpenSearch Service($),Redshift($),Managed Streaming for Apache Kafka($),SageMaker($),ElastiCache($),DMS($),Elastic Load Balancing($),QuickSight($),Elastic File System($),SNS($),Lambda($),Elastic Container Service for Kubernetes($),Rekognition($),Hardened Red Hat Enterprise 7 (RHEL 7)($),Step Functions($),Glacier($),DynamoDB($),Backup($),AppFlow($),Route 53($),SQS($),EC2 Container Registry (ECR)($),Key Management Service($),API Gateway($),CloudFront($),Athena($),Secrets Manager($),CloudWatch Events($),Cognito($),X-Ray($),Cost Explorer($),Service Catalog($),Systems Manager($),SES($),Simple Workflow Service($),Direct Connect($),CloudTrail($),CodeArtifact($),Elastic Container Service($),Migration Hub Refactor Spaces($),Location Service($)
2023-04-01,2023-04-01,219.5088039109,8.3092947008,648.1827621951,300.4190824702,0.00165912,,,93.6574705456,19.104386913,364.1692963349,,42.4618262147,,105.729840032,,28.5146461005,,14.9568274812,0.0020692501,0.0,24.552,,,7.998e-07,1.9143e-06,0.0792818975,,,,0.000348192,0.3050077392,0.79564602,,0.0,0.0,1.4628450516,9.858e-05,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4e-08,,0.0,0.0
2023-04-02,2023-04-02,208.9359767015,8.3820683156,640.6350530131,298.5282466892,0.0018507,,,103.5917551258,32.4433178688,364.1765700144,,42.4617140839,,105.7298400292,,28.6537408176,,15.0443510398,0.0002417146,0.0,24.552,,,8.818e-07,1.9188e-06,0.07928064,,,,0.000361584,0.3050077392,0.79608963,,0.0,0.0,1.4157824016,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28e-08,,0.0,0.0
2023-04-03,2023-04-03,266.3883133634,8.4509012957,652.4039349844,306.4842888386,0.00186744,,,104.3645531868,21.4870297574,364.1527628419,,42.463278959,,105.7298400288,,28.4811257383,,15.1178267965,0.0020529079,0.0,24.552,,,8.818e-07,1.9188e-06,0.07928064,,,,0.000361956,0.3056633318,0.79613148,,2.70122e-05,0.0,1.5273219516,0.0001953,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28e-08,,0.0,0.0
2023-04-04,2023-04-04,283.1106986281,8.206695586,647.3306316528,306.289194528,0.00165354,,,104.0807272955,16.9730164545,364.1455350958,,42.4653560063,,105.7298400288,,28.5109253829,,15.1889532531,0.0032590824,0.0,24.552,,,6.736e-07,1.9279e-06,0.07928064,,,,0.000261144,0.3064453042,0.79388832,,2.0118e-06,0.0,1.5383047338,0.00014694,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15e-08,,0.0,0.0
2023-04-05,2023-04-05,262.9244193125,8.2627500989,643.5898036538,303.7275912791,0.00143034,,,103.4549399621,16.9995926612,364.1481081674,,42.463925063,,105.7298400288,,28.5019637895,,15.263354304,0.0032025705,0.0,24.552,,,7.248e-07,1.9097e-06,0.07928064,,,,0.0002883,0.3068719857,0.79332195,,1.16968e-05,0.0,1.5393230837,0.00010509,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15e-08,,0.0,0.0
2023-04-06,2023-04-06,292.6754841985,8.3311613958,664.6615696458,309.5000839676,0.00131688,,,104.3474508688,21.114961525,364.1507299551,,42.4638110005,,105.7298400328,,28.5203797752,,15.3364008496,0.0024289152,0.0,24.552,,,6.006e-07,1.8833e-06,0.07928064,,,,0.000241056,0.3082173776,0.79230639,,0.0009578765,0.0,1.5170516508,0.00038037,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88e-08,,0.0,0.0
2023-04-07,2023-04-07,273.4245591156,8.4017078657,643.1959509575,312.1195555767,0.00116622,,,103.8930023318,19.1378987311,364.158536569,,42.4623576363,,105.7298400296,,28.4889712935,,15.4111487486,0.0023469844,0.0,24.552,,,5.706e-07,1.9188e-06,0.07928064,,,,0.00023436,0.3093766416,0.79108995,,0.0005621167,0.0,1.5295276008,0.0001674,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7e-08,,0.0,0.0
2023-04-08,2023-04-08,242.4521365873,8.4773602982,631.5324440299,301.1111019803,0.00096441,,,104.0785668785,16.9339027106,364.1819669048,,42.4623397524,,105.7298400346,,28.5239110024,,15.4968036099,0.0008254815,0.0,24.552,,,5.01e-07,1.9331e-06,0.07928064,,,,0.00020088,0.3093766416,0.79058217,,0.0010862097,0.0,1.4555461008,4.464e-05,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7e-08,,0.0,0.0
2023-04-09,2023-04-09,237.0869812311,8.541527317,633.504974882,300.5442025107,0.00086118,,,99.5680782254,16.9376685744,364.238531187,,42.4623681856,,105.7298400382,,28.6802166554,,15.5869973418,0.0022469841,0.0,24.552,,,4.356e-07,1.9612e-06,0.07928064,,,,0.000174096,0.3093766416,0.78939921,,0.0004482669,0.0,1.4548532508,0.00011532,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7e-08,,0.0,0.0
2023-04-10,2023-04-10,291.3775400924,8.5848477315,643.279988297,307.285863643,0.00074307,,,100.6003014628,17.0825207454,364.2335552967,,42.4630953609,,105.7298400391,,28.914892053,,15.6733501405,0.0031469115,0.0,24.552,,,4.037e-07,1.94e-06,0.07928064,,,,0.00015438,0.3112097669,0.78922065,,0.0028505967,0.0,1.5199486008,0.00010695,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94e-08,,0.0,0.0
2023-04-11,2023-04-11,326.6308030893,8.6811484194,653.6176510573,314.3991381713,0.00063147,,,107.3180453588,17.1248768209,364.2358144182,,42.4633742164,,105.7298400393,,28.7610585512,,15.7590411098,0.0019305814,0.0,24.552,,,3.042e-07,1.9257e-06,0.07928064,,,,0.000135036,0.3143267745,0.78797631,,0.0042247882,0.0,1.4812244341,0.00021018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,,0.0,0.0
2023-04-12,2023-04-12,302.5069772239,8.7507508856,644.9109759355,321.887937472,0.00050871,,,104.0578365758,21.1598341845,364.2416060619,,42.463137236,,105.7298400396,,26.9600904309,,16.2226613684,0.0025971086,0.0,24.552,,,2.704e-07,1.9331e-06,0.07928064,,,,0.00010044,0.3164441648,0.78577779,,0.0023231953,0.0,1.5330616008,0.00017484,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-09,,0.0,0.0
2023-04-13,2023-04-13,366.8327295438,8.7944617462,648.504625742,324.3407781209,0.00109833,,,106.5292868552,19.1350420921,364.241737853,,42.463953735,,105.7298400396,,25.8131427062,,16.988522131,0.0044450311,0.0,24.552,,,5.334e-07,1.7807e-06,0.07928064,,,,0.000121272,0.3171629126,0.78935457,,0.0162156099,0.0,1.4919380341,0.00036177,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2023-04-14,2023-04-14,277.9145352079,8.8719140736,520.9576089342,314.2597627023,0.00220224,,,104.8969165199,31.5770931264,364.255877919,,42.4654136798,,105.7298400395,,25.9093269114,,17.2279668612,0.0023988979,0.0,24.552,,,9.479e-07,1.877e-06,0.07928064,,,,9.3744e-05,0.3172518552,0.7956795,,0.0025682058,0.0,1.5243475008,8.928e-05,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2023-04-15,2023-04-15,281.7318308433,8.94495348,520.7277876632,313.0624477851,0.00211854,,,104.0738251398,18.6014021315,364.2448805017,,42.4654138237,,105.7298400492,,25.7858476999,,17.3284332846,0.0027325291,0.0,24.552,,,9.46e-07,1.8975e-06,0.07928064,,,,2.6784e-05,0.3172518552,0.7972698,,0.0032184898,0.0,1.5148522008,8.928e-05,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2023-04-16,2023-04-16,234.1489784525,8.9912879996,509.1908828059,308.4984992438,0.00213156,,,112.802608501,17.006695755,364.2490840206,,42.4645948816,,105.7298400427,,26.2194206523,,17.4318692309,0.0003625012,0.0,24.552,,,9.952e-07,1.8753e-06,0.07928064,,,,2.0088e-05,0.3172518552,0.79582458,,0.0001483795,0.0,1.4398709508,2.604e-05,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2023-04-17,2023-04-17,326.4025020078,9.0589590747,553.9964589902,318.5112573835,0.00206739,,,114.5655532593,17.0070733769,364.256371525,,42.4671835885,,105.7298400399,,26.3168488601,,17.5246778611,0.0018227799,0.0,24.552,,,8.982e-07,1.8102e-06,0.079280832,,,,1.3764e-05,0.3182087652,0.79462488,,0.0094940366,0.0,1.5416269008,3.162e-05,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2023-04-18,2023-04-18,299.3328396328,9.1271037638,521.671865488,312.5175391627,0.00194463,,,112.5927509979,17.0006426669,364.2704807695,,42.4671084669,,105.7298400399,,26.2918110171,,17.6077307356,0.0019360964,0.0,24.552,,,8.804e-07,1.9255e-06,0.079280832,,,,6.696e-06,0.3194727065,0.79511592,,0.021447087,0.0,1.5326059008,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2023-04-19,2023-04-19,278.3665903526,9.2004239345,521.6195724104,314.278009741,0.00195579,,,118.026162559,17.8405689083,364.2812262544,,42.4663808995,,105.7298400478,,26.3220807212,,17.6917047301,0.0021274175,0.0,24.552,,,9.132e-07,1.8979e-06,0.079280832,,,,7.068e-06,0.3199396942,0.79560138,,0.0192525307,0.0,1.4814848341,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2023-04-20,2023-04-20,291.1520426514,9.2705867581,547.8675809584,312.4197836717,0.00197346,,,122.2120486399,26.951044327,364.3172824622,,42.4661898009,,105.729840048,,26.3134632745,,17.7864528247,0.0081751318,0.0,24.552,,,9.146e-07,1.9567e-06,0.079280832,,,,8.928e-06,0.3221217331,0.79614543,,0.0178484671,0.0,1.5254867508,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
