,std,mean,volatility
Budgets($),0.00046734258409553375,2.3484848484848483e-05,1989.9748742132406
Config($),0.00023367129204776688,1.1742424242424242e-05,1989.9748742132406
Direct Connect($),0.009717880331989497,0.0004884266409090909,1989.6294587662042
X-Ray($),1.0995513626381466e-06,1.0803030303030304e-07,1017.8175306327864
Certificate Manager($),49.56634893318949,6.940226811515152,714.1891796814122
CIS Ubuntu Linux 22.04 LTS Benchmark - Level 1($),0.07143929194212809,0.011111111111111112,642.9536274791528
Redshift($),8.27699317819568,1.3040030550191921,634.7372535928499
CodeArtifact($),7.642668499458119e-09,1.2414141414141414e-09,615.6421329913375
Tax($),1843.3855543695915,333.3598737373738,552.9716380387881
Support (Business)($),784.1464460654886,142.11198698612222,551.7806503838859
CloudShell($),4.6673579119447547e-07,8.96780303030303e-08,520.4572286181268
Managed Workflows for Apache Airflow($),3.102248480625812,0.9300707885244949,333.54971674224447
Athena($),0.9052121764731655,0.3321427598484848,272.5370792023588
Systems Manager($),44.73828949244114,17.533472116075757,255.15932723571817
EC2 Container Registry (ECR)($),9.991695845522736,3.9616303358348484,252.21171584695955
Service Catalog($),0.020304431441762784,0.00818846212121212,247.96391729241049
Elastic MapReduce($),2.8722108126553296,1.215308902941919,236.33586536744028
Cognito($),98.4361388531712,56.300964579545465,174.83916943215877
DMS($),2.135289924645783,1.2878833880386362,165.798390170844
Lambda($),0.8906065477962463,0.5415912590641415,164.44256307518626
DocumentDB (with MongoDB compatibility)($),13.300640130469104,9.578821025598483,138.8546679693087
Cost Explorer($),0.10432188514853279,0.07555075757575756,138.0818518516182
EC2-Instances($),53.692719318018746,39.84719672787349,134.7465411047603
SQS($),1.2923608634599622,1.0488613671345959,123.21560350636112
DynamoDB($),13.357162118657463,10.845839931299496,123.15470450666214
Total costs($),2643.334912501939,2191.7938120245954,120.60144060997453
SES($),0.0021265456449359476,0.0018068365936868686,117.69440869009131
CloudFront($),61.45657291003944,53.976577383495446,113.85785444193645
SNS($),0.06880754566046186,0.06499138597297979,105.87179305434206
API Gateway($),6.165271679093961,5.861553400606061,105.18153222755757
Kinesis($),0.5768480209793354,0.5641000003131311,102.25988666178476
Kinesis Firehose($),0.46262515763874074,0.4949697525267677,93.46533909942754
Managed Streaming for Apache Kafka($),18.0757599244216,20.69687369728409,87.33570194610387
CloudTrail($),35.615327470053266,40.87177137424242,87.13918255203936
WAF($),0.7320755028577115,0.8547063058368688,85.65228755869705
Simple Workflow Service($),3.311169479640076e-07,4.6430606060606055e-07,71.3143712860003
Route 53($),3.8095411264355983,5.947317418412374,64.05478064179982
Step Functions($),2.669109916742614e-07,4.299717171717172e-07,62.07640665994446
Secrets Manager($),0.07573114122148891,0.14402243264621212,52.58287881271993
VPC($),14.900901346122064,32.52092819512778,45.81942205559338
Glue($),148.61447684119145,327.92741875299726,45.3193201734471
CloudWatch($),55.50504176260102,126.25452959163081,43.96281221919847
MQ($),13.831781618834375,33.484620399118434,41.30786448813537
CIS Ubuntu Linux 20.04 LTS Benchmark - Level 1($),0.6018707513067947,1.5145353535353538,39.73963036926528
Glacier($),6.444250021007613e-07,1.7276969696969695e-06,37.299654592424886
Relational Database Service($),27.23014098192487,75.66196218267828,35.98920804641625
Savings Plans for  Compute usage($),33.421381484948895,100.43295454545454,33.27730587655155
Elastic Load Balancing($),3.497573053990769,12.953049369699494,27.00192791801203
ElastiCache($),8.39865142110071,34.48985829642323,24.351075463744927
S3($),38.290044996972064,172.06711883597373,22.252970385046535
Key Management Service($),0.2573645624314932,1.1751261398840909,21.901015873655783
CIS  Linux 2 Benchmark - Level 2($),0.4177177341933891,2.0126161616161617,20.754962727614952
EC2-Other($),97.9297794285496,488.09172131259373,20.063806688872603
OpenSearch Service($),2.5247590841816825,16.88349029637424,14.95401152168091
CloudWatch Events($),1.4256920171036981e-05,0.00010367383282828283,13.751705499931715
QuickSight($),0.719186039575041,5.500621180551516,13.07463313630575
Hardened Red Hat Enterprise 7 (RHEL 7)($),0.06726640477309823,2.8970202020202014,2.321917007212819
Elastic Container Service for Kubernetes($),6.047253501486095e-14,11.160000000000002,5.418685933231267e-13
Refund($),54.89003750857486,-9.94780303030303,-551.7805021005005
date-time,,2023-10-15 12:00:00,
