,Service,Tax($),Savings Plans for  Compute usage($),Relational Database Service($),EC2-Other($),CloudWatch($),S3($),Support (Business)($),VPC($),EC2-Instances($),Tetrate Service Bridge($),Glue($),OpenSearch Service($),Elastic Load Balancing($),ElastiCache($),Redshift($),DocumentDB (with MongoDB compatibility)($),Elastic File System($),Elastic Container Service for Kubernetes($),Elastic MapReduce($),Managed Streaming for Apache Kafka($),CloudTrail($),Certificate Manager($),DynamoDB($),Direct Connect($),SageMaker($),QuickSight($),OCBLateFee($),DMS($),Route 53($),MQ($),Cognito($),CloudFront($),Hardened Red Hat Enterprise 7 (RHEL 7)($),EC2 Container Registry (ECR)($),Config($),SNS($),Rekognition($),Glacier($),CIS  Linux 2 Benchmark - Level 2($),Savings Plans for  Machine Learning($),Systems Manager($),"F5 BIG-IP Virtual Edition - GOOD  (PAYG, 200Mbps)($)",Kinesis($),Lambda($),Backup($),Key Management Service($),Managed Service for Prometheus($),SQS($),API Gateway($),Security Hub($),Secrets Manager($),AppFlow($),X-Ray($),Managed Workflows for Apache Airflow($),Cost Explorer($),Directory Service($),CIS Ubuntu Linux 20.04 LTS Benchmark - Level 1($),Kinesis Firehose($),SES($),Step Functions($),WAF($),DynamoDB Accelerator (DAX)($),Athena($),Inspector($),Antivirus for  S3 - PAYG with 30 DAY FREE TRIAL($),Transfer Family($),FSx($),WorkSpaces($),Budgets($),Service Catalog($),CloudWatch Events($),Pinpoint($),RHEL 8 with Support by Supported Images($),Elastic Container Service($),CIS Ubuntu Linux 22.04 LTS Benchmark - Level 1($),CIS  Linux 2 Benchmark - Level 1 (ARM)($),Elastic Disaster Recovery($),Textract($),Red Hat Enterprise Linux (RHEL) 8.4 with support by ProComputers($),Amplify($),Fault Injection Simulator($),AppSync($),Simple Workflow Service($),CloudShell($),CodeArtifact($),IoT($),CodeCommit($),Migration Hub Refactor Spaces($),Location Service($),CodeBuild($),DevOps Guru($),Data Transfer($),Refund($),Total costs($)
10,2023-04-10,,111.6,1978.5465224311,1756.3701051312,1191.9979942662,868.2171654956,,748.4500146456,1338.6034961052,,1160.2241579307,642.6592217174,499.9167900207,381.6946832527,148.6417702291,242.5519460016,51.9993380662,140.616,210.0108096132,84.2041647167,412.556232825,,51.5137892362,74.4667987431,45.3809829374,65.221830036,,177.9238974304,51.3621527718,41.6417643196,0.0,16.1001908088,74.14,13.8345991575,,8.5773462583,20.6401875,91.3560000565,38.22,0,0.005105514,19.92,31.9791520823,14.0508614453,3.4597255307,14.6203099488,,2.1040801428,1.9241940566,0.3146934,4.3891959646,0.497647034,0.05699505,,0.0,3.1869779316,0.48,1.9202706639,2.3266498014,1.66965e-05,0.7130005668,,1.40309565,6.190276576,,6.696,,,,,0.0038526792,0.0620000016,,3.58336e-05,0.1,,,,,,,,,,1.0862e-06,,,,,,,-0.5171955604,,12855.1268937993
11,2023-04-11,,111.6,2027.1461485892,1777.8221276744,1212.9668633443,745.6671208426,,765.0032783197,1451.8616544616,,990.083110908,642.661401714,502.4108583255,381.6946832489,147.3370605219,245.2452435767,52.1041750736,140.616,217.8208265477,84.6109277911,417.27324909,,51.4422649331,74.4434225336,45.3775948022,65.055360036,,177.9238974133,51.242402196,42.2161647968,0.0,16.1174489528,73.92,13.862608076,,7.0142852498,20.5797375,78.3411136392,39.36,0,0.021421806,19.92,34.3290438788,14.1068860413,3.4568976288,14.0615092188,,1.8519790308,1.8576629796,0.6919014,4.6831209165,0.2586113305,0.0406317,,-0.0,3.127485195,0.48,2.0801454306,2.3249576288,1.47756e-05,0.7130357208,,0.79809345,26.6527530064,,6.696,,,,,0.0027195561,0.0620000016,,4.81506e-05,,,,,,,,,,,6.918e-07,,,,,,,-0.3254996873,,12808.7124500091
12,2023-04-12,0.06,111.6,2040.608723304,1769.7438501539,1150.7220117261,671.888356594,,745.9569584537,1347.5322947747,,1179.0263281662,642.6671626734,475.834004239,381.6946832484,146.4184516503,243.086993228,52.8177855094,140.616,201.7437340261,84.6417004736,376.96678497,0.6975,51.3389729375,74.4883300439,45.3809023603,63.009360036,,177.9238974988,51.23224176,42.3577732493,0.0,16.3556883503,67.12,13.8327416279,,7.7842257424,21.0459,69.7550225691,44.08,0,0.006510186,19.92,30.0026222007,14.0922490597,3.4591828921,13.9332836088,,2.054546835,1.8506641672,0.05952,4.8597573673,2.7803796772,0.0389019,,0.0,3.1274864087,0.48,1.83327327,2.3258757111,1.14037e-05,0.7130061468,,1.20416865,2.4475225591,,6.696,,,,,0.0024549065,0.0620000016,,7.19497e-05,,,,,,,,,,0.0,6.328e-07,,,,,,,-0.516125112,,12621.4617437883
13,2023-04-13,410.7,192.51,2045.7817909861,1789.6628857896,1133.9839454522,673.6345625145,,834.5567168075,1342.5897714468,,1681.2123928788,642.6672248253,512.5721732231,381.9402032343,146.041762836,239.6234643895,53.5211501606,140.616,215.0706053185,84.2865891189,373.791173025,9.765,51.278469602,74.5119514112,45.381686402,62.265360036,,170.6249465424,51.237123888,42.3611408961,0.0,15.1802921026,63.4,13.9846066732,,25.7204213973,18.88365,64.003476015,47.34,0,0.035573244,19.92,35.7123933193,13.799411385,3.4671851464,12.3375486888,,5.1701458409,1.8044646198,0.05952,4.7132994174,0.6682648824,0.03818115,,-0.0,3.1167939485,0.48,3.0178328837,2.3259834465,2.4533e-05,0.7130016828,,1.7970948,2.5170592492,,6.696,,,0.0093,,0.002658854,0.0620000016,,7.10297e-05,,,,,,,,,,0.0,6.06e-07,,,,,,,-0.5738300304,,13768.5905156711
14,2023-04-14,,241.056,1950.0947375153,1719.024882452,1077.942520178,646.1914452466,,932.8683402552,1068.2322950834,,1288.596590202,642.6813514815,484.2265652041,383.0413232391,145.7455307459,228.5098695656,53.7689621434,140.616,199.558635981,83.8161669277,357.76677222,,50.9857380175,74.5844401839,45.3808855297,60.59136,,160.4064155347,51.17185128,42.3586313424,,14.2824219421,62.78,14.0124018166,,13.05997561,17.5305,69.1503833545,44.14,0,0.005147364,19.92,33.716801839,13.8568875673,3.4694133713,12.3773898888,,2.8851295799,1.718280647,0.05952,4.7788866342,0.2380338793,0.0365676,,0.0,3.0678753857,0.48,1.8045857666,2.3218609235,4.598e-05,0.7146901908,,2.5307718,4.3071212844,,6.696,,,,,0.0024195521,0.0620000016,,7.10298e-05,,,,,,,,,,,5.05e-07,,,,,,,-0.6128737603,,12478.6096200822
15,2023-04-15,,241.056,1975.8602704542,1670.7035570095,1128.9702616401,647.3328779421,,721.9711542568,979.3023165709,,896.271526227,642.6703521805,411.6571068061,383.3463632494,126.7515770097,233.4571733518,53.8597808472,140.616,201.9518453318,84.0147097995,377.096486025,,51.0495773629,74.5753393889,42.6807999984,60.777359988,,160.4064185177,51.2965215,42.3583501402,,15.1312251824,53.56,13.8114466852,,6.7761815817,17.4933,66.1005065474,41.68,0,0.005138064,19.92,34.24679817,13.7247824664,3.4700901432,12.0615200388,,1.7611466109,1.8570818748,0.05952,4.7141307342,1.2373650362,0.1648704,,0.0,3.1302157944,0.48,2.5026320765,2.3242573758,4.48756e-05,0.7130005668,,0.24860295,2.6050358968,,6.696,,,,,0.0131651697,0.0620000016,,7.14442e-05,,,,,,,,,,,6.06e-07,,,,,,,-0.6548474538,,11725.9290084365
16,2023-04-16,,241.056,1963.3588089009,1666.1497624801,1091.5509665121,653.4746449695,,635.3868746521,807.47947643,,719.9211330639,642.6745741383,382.4551537718,383.346363242,126.7748205448,217.9088575315,53.9599564886,140.616,204.4572305475,83.8235413026,370.605082305,,50.8580200708,74.5502671616,42.6807999984,61.056359988,,160.4064217485,51.238312428,42.3555773169,,17.8113995975,51.5,13.8136346306,,12.9167190412,15.1032,84.6879482338,39.58,0,0.005119464,19.92,26.961692186,13.9059081544,3.4697978808,11.9106033588,,2.7971096086,1.8352064497,0.05952,4.7156750508,0.2011952867,0.19934085,,0.0,3.0955598842,0.48,1.4716401044,2.3210144335,4.46195e-05,0.7134943968,,1.1227611,1.9888752462,,6.696,,,,,0.016391821,0.0620000016,,7.18574e-05,,,,,,,,,,,6.06e-07,,,,,,,-0.7091791817,,11206.7977502747
17,2023-04-17,,241.056,1990.7347897719,1743.2926186333,1192.4070960699,892.0897250637,,742.1120130499,1149.1814639471,,1180.0342513503,642.6819846457,427.7935045829,383.7388232374,146.1130650083,241.4228245266,53.9921246528,141.7149540048,202.671931636,83.8107242058,404.969396055,,50.6463026352,74.5644294533,47.2674467331,64.404359988,,160.4064165999,51.295256328,42.3586631843,0.0,17.0796371356,63.88,13.835563987,,15.4832071052,17.20035,64.6102075426,45.0,0,0.066699414,19.92,31.7559779954,14.1809363688,3.468821442,13.0447606788,,3.2740337527,1.8975599447,0.05952,4.8968080512,0.5773282498,0.05185215,,0.0,3.1971537676,0.48,2.0777215638,2.3232281167,4.29404e-05,0.7130000088,,2.06145195,2.6050504025,,6.696,,0.8835,,0.0,0.0035597803,0.0620000016,,7.17607e-05,,,,,,,,,,0.0,5.05e-07,,0.0,,,,,-0.7597745017,,12701.3864354767
18,2023-04-18,,241.056,1919.8894174502,1747.3710013282,1297.1544402614,916.841000576,,860.0521378532,1100.8508866952,,1313.2024781871,642.6960823378,474.5493137505,396.4203032263,146.5865165654,250.4383370337,54.0809789798,142.848,203.9615484153,84.0526571564,474.832397565,,51.5554743795,74.5941366747,46.1731827014,62.94735995,,160.4064151231,51.322195452,36.7913323427,0.0,17.5260870346,63.26,13.9716396967,,51.4955196161,20.0356875,91.51078017,43.46,0,0.063947916,19.92,32.4611001184,14.0952244383,3.4702690557,13.0324037688,,9.6172011102,1.8233201047,0.05952,5.0978311702,5.2627542615,0.04191975,,0.0,3.1157334505,0.48,2.1990550946,2.3251340316,4.22703e-05,0.7135842348,,1.7147247,,,6.696,,,,,0.0023367628,0.0620000016,,7.11953e-05,,,,,,,,,,0.0,7.07e-07,,,,,,,-0.8168068415,,13173.3706753231
19,2023-04-19,,241.056,1912.3125386988,1681.4749946504,1279.1261253794,772.1940501556,,800.4407006464,1105.2526641973,,2050.2445793991,642.7069980133,440.0119147677,405.5547632258,146.1056756693,253.5220640397,54.1884826085,142.848,204.9043666393,84.0642306539,448.411928055,,51.682600526,74.6177977088,45.3725019665,63.75335994,,127.0273974718,51.328565208,34.9037607286,0.0,19.0319311694,66.44,14.0608764073,,33.6436250885,19.16265,70.5957955678,43.6,0,0.073375512,19.92,32.7848673826,14.3190109797,3.4733850447,12.3900525616,,6.4706179595,1.8201781547,0.05952,4.991653588,0.5128473369,0.0422034,,-0.0,3.1140068181,0.48,2.2830704346,2.3252165687,4.13773e-05,0.7130000088,,4.7183085,,,6.696,,,,,0.0023192648,0.0620000016,,7.08493e-05,,,,,,,,,,0.0,6.06e-07,,,,,,,-0.8510282742,,13496.0416566569
20,2023-04-20,,241.056,1947.4419509122,1676.3012826242,1252.016267073,734.6335696552,,917.3388167305,1109.5824603817,,1189.249255014,642.7431080305,471.2221088774,410.9952632147,147.7847268605,252.1014271476,54.3053931362,142.848,201.0631922944,84.1867266381,421.028839725,,51.7895000279,74.6214449634,45.3808550704,66.2023599448,,113.1810137331,51.332378208,34.9029546001,0.0,17.5515707175,66.76,13.9772362789,,28.8425284614,19.8706125,75.938031593,43.24,0,0.050553684,19.92,36.2183897774,14.61891328,3.4770806044,12.383223468,,5.8244848128,1.8188195418,0.0595479,5.0844159215,0.483355206,0.08564835,,0.0,3.1260959255,0.48,2.3279351112,2.325034827,4.14659e-05,0.7130106108,,2.1708711,2.0925,,6.696,,,,,0.0023554823,0.0620000016,,7.14884e-05,,,,,,,,,,0.0,5.05e-07,,,,,,,-0.9010734893,,12718.608149988
21,2023-04-21,,241.056,2043.4755684384,1683.1293002845,1257.5524075144,727.6062753289,,815.7966573073,1029.1421075618,,1060.4164435221,642.7862288647,469.3902531344,409.4840132144,147.6497487632,250.9020779421,54.2899835573,142.848,198.4311419519,84.6314955713,425.71230159,,51.7981195535,74.6314643555,45.380860594,62.1723599472,,113.1810137295,51.331737624,34.9041404667,0.0,17.8403435496,63.62,14.0943954634,,33.162864445,20.1624,69.6566169878,43.88,0,0.052814328,19.92,35.5106170399,14.7135033486,3.4815611136,12.353214228,,6.5249750656,1.7980574874,0.05952,5.105806438,0.5232908286,0.12010485,,0.0,3.0412684906,0.48,2.0512593136,2.3247753669,4.21731e-05,0.7130011248,,1.1819556,,,6.696,,,,,0.0023480713,0.0620000016,,7.07626e-05,,,,,,,0.1209,,,0.0,6.06e-07,,,,,,,-0.9470506777,,12496.0063568234
22,2023-04-22,,241.056,2025.3960009968,1587.8156621133,1183.697274112,695.2223558113,,637.7698058707,721.4076128866,,771.398302014,642.8001765135,376.7921624803,406.4615132123,127.2162841995,238.1989178968,62.7149981772,142.848,202.4794233485,83.6192894367,406.06940982,,51.6042660124,74.5695998398,42.6807999984,61.1493599472,,113.1810138067,51.257925384,34.902052765,,15.338828429,52.4,14.0242676061,,13.6337776377,16.50285,89.5771014232,40.26,0,0.005138064,19.92,31.9883914514,14.093916569,3.4827943945,11.912879688,,3.0832891207,1.8267921744,0.05952,5.0243854548,0.2554620486,0.25143015,,0.0,3.1528893842,0.48,2.0747677299,2.321321172,3.99246e-05,0.7130005668,,0.1086891,,,6.696,,,,,0.0130210528,0.0620000016,,7.17603e-05,,,,,,,,,,,5.05e-07,,,,,,,-0.9825876722,,11330.5882443794
23,2023-04-23,,241.056,1980.838298574,1635.5432337205,1146.9126205233,688.6750997551,,643.2527608374,617.4479812817,,717.9712444533,642.7749448333,400.1162588532,405.5547632178,127.7270090176,226.3141746658,43.4473831876,142.848,208.2546025937,83.3280606114,400.52655402,,51.5730524105,74.4959473384,42.6807999984,61.1493596832,,113.1810137575,51.272605992,34.9025458353,0.0,14.3326585709,50.22,14.0280491305,,6.9097745184,19.7613375,53.0515285466,42.36,0,0.005147364,19.92,26.3917147099,14.000402593,3.4821168073,11.901945678,,1.8915016808,1.8270421659,0.05952,5.0747728548,0.1755950072,0.2834361,,-0.0,3.1406428082,0.48,1.3947543693,2.3211620223,3.97467e-05,0.7130379528,,0.10636875,2.0925,,6.696,,,,,0.0164048722,0.0620000016,,7.12326e-05,,,,,,,,,,,6.06e-07,,,,,,,-1.0436771001,,11083.5001636499
24,2023-04-24,,241.056,1938.1495901159,1579.7353437499,1197.07192685,725.6687258298,,707.5310253058,1065.6427402634,,1805.6257276371,642.7699218771,436.1585671087,405.5547632324,146.2957026137,248.5700745959,43.5783986777,142.8252965294,203.6829945419,83.236188859,412.10222589,,42.4432967224,74.6240404433,45.3809209517,63.8463593136,,113.1810137448,51.382316604,34.907595994,0.0,17.4473044202,63.98,14.5049752941,,33.9538230537,23.1651375,73.5612023325,46.08,0,0.082545684,19.92,30.4252291047,15.8188607534,3.4845683174,7.1347985388,,6.6221392488,1.8283917228,0.05952,5.1741898548,0.2980935877,0.1371936,,0.0,3.1992699876,0.48,2.1862970824,2.3240993721,3.7769e-05,0.7130005668,,1.9374318,,,3.4512448791,,,,,0.0035565505,0.0620000016,,7.08756e-05,,,,,,,,,,0.0,5.05e-07,,,,,,,-1.1224969453,,12827.9332429088
25,2023-04-25,,241.056,1944.6673231588,1602.1699638714,813.6479753715,697.1163339698,,808.1737173885,1062.4835988296,,1175.2427940537,642.7675616639,482.8794623185,405.5547632417,146.6126574765,251.9517983613,44.0105069866,142.848,203.2890966499,85.1545932282,128.373894315,,42.0750947616,74.6734250819,45.3800631762,61.7073593136,,113.1810141083,51.412996188,34.9096678229,0.0,19.7646135973,64.84,14.3102939806,,14.1414833812,23.601075,133.5925608988,46.32,0,0.080275368,19.92,34.6015313994,19.3546328848,3.487317102,7.2656734092,,3.0611975336,1.8276111582,0.05952,5.2522953866,2.1190631083,0.12912585,,0.0,3.0605365888,0.48,1.9437064405,2.3286016352,3.728e-05,0.7130005668,,3.96852855,,,,,,,,0.002363573,0.0620000016,,5.636e-05,,,,,,,,,,0.0,6.06e-07,,,,,,,-1.1356685585,,11726.4910944388
