,Service,Tax($),Savings Plans for  Compute usage($),Relational Database Service($),EC2-Other($),CloudWatch($),S3($),Support (Business)($),VPC($),EC2-Instances($),Tetrate Service Bridge($),Glue($),OpenSearch Service($),Elastic Load Balancing($),ElastiCache($),Redshift($),DocumentDB (with MongoDB compatibility)($),Elastic File System($),Elastic Container Service for Kubernetes($),Elastic MapReduce($),Managed Streaming for Apache Kafka($),CloudTrail($),Certificate Manager($),DynamoDB($),Direct Connect($),SageMaker($),QuickSight($),OCBLateFee($),DMS($),Route 53($),MQ($),Cognito($),CloudFront($),Hardened Red Hat Enterprise 7 (RHEL 7)($),EC2 Container Registry (ECR)($),Config($),SNS($),Rekognition($),Glacier($),CIS  Linux 2 Benchmark - Level 2($),Savings Plans for  Machine Learning($),Systems Manager($),"F5 BIG-IP Virtual Edition - GOOD  (PAYG, 200Mbps)($)",Kinesis($),Lambda($),Backup($),Key Management Service($),Managed Service for Prometheus($),SQS($),API Gateway($),Security Hub($),Secrets Manager($),AppFlow($),X-Ray($),Managed Workflows for Apache Airflow($),Cost Explorer($),Directory Service($),CIS Ubuntu Linux 20.04 LTS Benchmark - Level 1($),Kinesis Firehose($),SES($),Step Functions($),WAF($),DynamoDB Accelerator (DAX)($),Athena($),Inspector($),Antivirus for  S3 - PAYG with 30 DAY FREE TRIAL($),Transfer Family($),FSx($),WorkSpaces($),Budgets($),Service Catalog($),CloudWatch Events($),Pinpoint($),RHEL 8 with Support by Supported Images($),Elastic Container Service($),CIS Ubuntu Linux 22.04 LTS Benchmark - Level 1($),CIS  Linux 2 Benchmark - Level 1 (ARM)($),Elastic Disaster Recovery($),Textract($),Red Hat Enterprise Linux (RHEL) 8.4 with support by ProComputers($),Amplify($),Fault Injection Simulator($),AppSync($),Simple Workflow Service($),CloudShell($),CodeArtifact($),IoT($),CodeCommit($),Migration Hub Refactor Spaces($),Location Service($),CodeBuild($),DevOps Guru($),Data Transfer($),Refund($),Total costs($)
0,Service total,1024058.15,845475.6289,745913.773838174,694040.5695483135,429423.1918144709,416632.223385574,309650.7429434507,297929.6150365775,275612.9281799373,275000.0,225349.5241280276,188192.7227972007,160818.8313623138,142763.7381730487,134519.3675540053,95688.7829150294,77769.979728981,64235.7145955904,63209.45442942,56307.0652990558,51858.19991376,51631.03112764,50684.6202758081,37215.102369875,32627.6068302451,28944.9780990821,28159.96,23525.6957883159,22465.7837079479,22428.387065662,22355.708318,22202.7784080987,20310.58,13041.2742417689,12869.74508,12600.3605580123,12304.50754574,9416.8373201175,9294.498,8784,8043.601072698,7337.2,6586.5958986221,5410.7430596287,4848.3922690833,4692.6951033046,3600.8914967382,3498.850746223,2931.4780680816,2862.8198394,2382.5276647269,2242.9066773818,2193.26187165,2109.4321449426,1742.5471396687,1701.3057184336,1431.926,1280.5663468104,1277.8727536514,962.5627548636,791.0676265182,703.549,549.94957135,401.9823818786,173.95,160.9092400198,92.3751814406,91.884,69.3222,55.148975,36.3417029298,24.1800002448,14.21,4.6058278129,4.4,3.08,0.85932,0.70866,0.2,0.1323402641,0.1209,0.1159917158,0.0086891469,0.0013313941,0.0001773056,9.8301e-06,0.0,0.0,0.0,0.0,0.0,-8779.4078812286,-50009.93,7026841.601150775
1,2023-04-01,69312.17,111.6,1959.621354123,1678.8252368876,1112.2234110652,708.707227733,25253.5034031072,789.6849618885,1101.0926934737,,425.5818305415,642.1223149741,493.7753415722,381.694683248,4758.075705047,184.4381893865,51.2232561796,140.616,184.2097167783,84.0238748112,387.69850137,2604.0,35.69260523,74.5945552903,42.4327999992,58.221720024,,151.5918670797,66.437874192,41.6366163845,0.0,0.0478878156,65.44,13.314753658,2.85603,25.1200535724,18.6104625,46.9455366351,34.22,0,6.515128764,19.92,29.9584127649,7.3160875873,3.4578003183,11.6012924835,,3.7224530088,1.9485971074,0.05952,3.972930546,0.9227320214,0.0,,0.0,3.1161256778,0.48,1.8727688558,2.3240553373,3.69699e-05,0.7130000088,,0.5107932,3.5779707215,,6.696,,17.67,,,0.0138649993,0.0620000016,,3.404e-07,0.46,,,,,,,,,,1.3639e-06,,,,,,,-1.2972038308,-1767.75,111399.8948328145
2,2023-04-02,,111.6,1951.2969213096,1695.0101687924,1139.7320323604,765.4103398062,,833.6401990241,1021.1852850133,,631.2379077492,642.1295565411,542.8056897178,381.6946832446,126.3190543041,177.3420859288,51.2868967338,140.616,188.681437212,86.4373016317,411.247760955,,50.9690090197,74.5660426677,42.4327999992,57.663720024,,151.5918905498,51.454534452,41.6356987873,,0.0414544174,64.64,13.3065725115,,53.0848173708,17.132925,64.3741300676,32.4,0,0.005119464,19.92,26.2195328675,14.2561474475,3.4602187421,11.599812234,,7.6987232283,1.8947517198,0.1801875,4.040313696,0.1714950881,0.0,,0.0,3.087389055,0.48,1.5261767063,2.3225543114,4.19541e-05,0.7130005668,,0.63431115,5.6567501138,,6.696,,,,,0.0172530063,0.0620000016,,3.5e-09,0.48,,,,,,,,,,1.477e-06,,,,,,,-1.0067975946,,11723.0818979296
3,2023-04-03,,111.6,1971.5377646015,1762.6747453093,1217.1368231389,1203.0718628067,,838.2593249858,1354.0910546421,,844.2705807747,642.3614945177,553.74365926,381.6946832424,147.5899777984,185.9743508563,51.4255300857,140.616,197.2734292237,82.4976668463,411.340336875,,51.2954082929,74.5107006047,45.3290940084,61.569720024,,151.591881455,51.551373492,41.6371884593,0.0,0.1163513587,77.38,13.3279532096,,9.5900415552,21.1400625,80.1032865301,37.84,0,0.01703574,19.92,30.3935668862,14.1932097778,3.4628320547,12.6557534544,,1.8765157662,1.8959649356,0.2918712,4.1711817466,0.184152361,0.0,,0.0,3.1353197969,0.48,2.1856999215,2.3243284159,4.07664e-05,0.7130044728,,1.74894405,4.5344638674,,6.696,,,,,0.0039543217,0.0620000016,,7.9e-09,0.48,,,,,,,,,,1.4206e-06,,,,,,,-0.1120660267,,12925.4561213929
4,2023-04-04,,111.6,2009.2532002055,1716.6156159582,1099.9895431323,884.2976374746,,725.14476793,1371.8893225728,,1198.0084596978,642.5707854032,510.4569145591,381.6946832438,147.794392201,184.2704179839,51.4812417583,140.616,194.2765572258,82.5937113969,359.1913332,,51.0806622943,74.4156689584,45.3801370344,59.058720024,,166.2393818352,51.682150464,41.6382262061,0.0,0.073729203,77.1,13.3790087139,,20.9760529997,20.69715,82.8122784539,37.34,0,0.113048196,19.92,31.8455289338,14.0859369502,3.4650159953,12.8403075125,,3.325687334,1.8277814836,0.2658405,4.1481626957,2.8054031977,0.0,,0.0,3.0496236948,0.48,2.2292459322,2.3246275208,3.6505e-05,0.7130067048,,1.16261625,4.0806524073,,6.696,,,,,0.0026489382,0.0620000016,,9.7e-09,0.48,,,,,,,,,0.0,1.4196e-06,,0.0,,,,,-0.2784141423,,12669.2625081706
5,2023-04-05,,111.6,2043.5121972221,1740.6739850011,1155.4996323553,845.047815893,,748.19904204,1352.4715703718,,740.6261831349,642.5733628419,542.1418197569,381.6946832424,146.8888850657,188.7008119879,51.6243382323,140.616,195.7105782498,88.4259233273,392.11946562,,51.2150107825,74.4390858575,45.3808629814,64.1737200337,,175.0278800369,51.591888012,41.6355900332,0.0,0.1057295714,74.9,14.6089519161,,26.1248862649,19.9752375,79.9759516852,37.56,0,0.180040932,19.92,33.9916015854,14.0405178067,3.4657588289,12.6405808164,,4.055079164,1.8505794046,0.2897229,4.2372809803,2.159810257,0.04093395,,-0.0,3.1159258015,0.48,2.0250720601,2.3273992228,3.15685e-05,0.7130011248,,0.76302315,6.1568510509,,6.696,,,,,0.0026611193,0.0620000016,,7.8e-09,0.48,,,,,,,,,0.0,1.4101e-06,,0.0,,,,,-0.1381353124,,12384.3968268475
6,2023-04-06,,111.6,2040.5643657195,1755.9287390463,1176.3093688512,712.4117707184,,811.5022915312,1392.8640630238,,1108.5200376675,642.5759155896,538.3840794233,381.6946832464,154.3467220226,183.3742565826,51.6508704506,140.616,195.9219183426,85.6872999448,401.494721685,,51.0142472088,74.4821797762,45.3807282049,64.731720036,,175.9932228999,51.632334456,41.6348804689,0.0,0.0786189848,71.74,13.5339957153,,24.5291101099,19.899675,70.3490825576,38.84,0,0.04676505,19.92,39.1610432728,14.012279308,3.470157946,12.1371688201,,3.9522702868,1.8507748228,0.4092186,4.256391964,4.2870580176,0.0388926,,0.0,3.1855717183,0.48,2.8777966574,2.3261592647,2.74722e-05,0.7130318148,,1.2890823,4.7460387394,,6.696,,,,,0.0031533117,0.0620000016,,2.44112e-05,0.48,,,,,,,,6.8e-08,0.0,1.3709e-06,,,,,,,-0.7295341703,,12754.9582729117
7,2023-04-07,,111.6,1972.3829346326,1703.4674864099,1147.1036266292,669.5122985825,,649.596274652,1247.185370134,,835.622559888,642.5838460633,456.0719190404,381.6946832432,151.1499557114,190.2988895085,51.7446712573,140.616,198.4409261357,84.4407797469,394.948383795,,50.9465166487,74.6305004712,45.3808619776,59.151720036,,177.9239024039,51.5677087841,41.6373517348,0.0,3.0216519795,73.54,13.5394214471,,17.9388963443,19.5892875,40.2417389675,39.08,0,0.005072964,19.92,33.0653753254,13.6883735712,3.4719540999,12.1423652472,,3.1251483782,1.7678726658,0.3120429,4.2657560298,0.1925658708,0.03817185,,0.0,3.1281016366,0.48,1.9507984798,2.322319402,2.50142e-05,0.7130000088,,1.3377864,5.391649717,,6.696,,,,,0.0027895572,0.0620000016,,3.59739e-05,0.48,,,,,,,,,,1.2516e-06,,0.0,,,,,-0.7934645956,,11850.415905474
8,2023-04-08,,111.6,1941.9000943311,1660.9753263594,1042.0454025118,639.1419920164,,610.5232119214,1130.3354410692,,400.5766249782,642.6074746367,422.2904200662,381.6946832482,126.4093063558,225.9511617881,51.8144171212,140.616,195.4317793782,84.4071859424,346.687298595,,50.8247156819,74.5529159374,42.6807999984,59.151720036,,177.9239023891,51.520912864,41.6360277302,0.0,13.8488778013,68.36,13.5481246786,,8.7861620811,19.6311375,99.6921393585,33.7,0,0.005063664,19.92,32.7197362116,13.6464155012,3.4725325545,11.7659914572,,1.6887512165,1.8662856383,0.1212348,4.1616130794,0.2022377257,0.16666995,,0.0,3.1347204085,0.48,1.9406649396,2.3215002374,2.0947e-05,0.7130005668,,0.1716501,5.6047734954,,6.696,,,,,0.0136982694,0.0620000016,,3.53738e-05,0.48,,,,,,,,,,1.1709e-06,,,,,,,-0.3305159836,,11021.889337701
9,2023-04-09,,111.6,1946.4478746803,1661.92300503,995.0320619783,632.5116533114,,588.8454102134,1063.3927643957,,378.8138726919,642.6641594727,403.7813057008,381.6946832518,127.0286543467,216.6646391494,51.8992280201,140.616,199.0191335031,83.9245619907,329.57518095,,50.8087160031,74.4747419127,42.6807999984,59.151720036,,177.923897371,51.5204540005,41.6354536067,0.0,12.4315717449,65.08,13.547769819,,6.5910169686,17.1015375,65.6772303561,34.24,0,0.005054364,19.92,27.1595682084,13.6486366947,3.4573741352,11.7936939888,,1.7521944385,1.8583073914,0.2102637,4.0367745294,3.9597963015,0.19960125,,0.0,3.0995767707,0.48,1.6547177186,2.3212449962,1.93703e-05,0.7130067048,,0.15810465,3.5739962102,,6.696,,,,,0.0166161808,0.0620000016,,3.5787e-05,0.48,,,,,,,,,0.0,1.1718e-06,,,,,,,-0.3888217589,,10775.1668608083
