,Service,S3($),Tax($),Relational Database Service($),EC2-Other($),CloudWatch($),Support (Business)($),EC2-Instances($),Glue($),Redshift($),DocumentDB (with MongoDB compatibility)($),Elastic MapReduce($),VPC($),OpenSearch Service($),ElastiCache($),Elastic Load Balancing($),DMS($),CloudTrail($),Managed Streaming for Apache Kafka($),Elastic File System($),QuickSight($),Rekognition($),Elastic Container Service for Kubernetes($),SNS($),Glacier($),Hardened Red Hat Enterprise 7 (RHEL 7)($),SageMaker($),DynamoDB($),Lambda($),Backup($),Kinesis($),Route 53($),AppFlow($),SQS($),Step Functions($),EC2 Container Registry (ECR)($),Key Management Service($),API Gateway($),Managed Workflows for Apache Airflow($),CloudFront($),Secrets Manager($),Athena($),CIS  Linux 2 Benchmark - Level 2($),Transfer Family($),Config($),Cognito($),CloudWatch Events($),Kinesis Firehose($),Cost Explorer($),RHEL 8 with Support by Supported Images($),X-Ray($),Direct Connect($),Service Catalog($),SES($),Systems Manager($),Textract($),Red Hat Enterprise Linux (RHEL) 8.4 with support by ProComputers($),Simple Workflow Service($),CloudShell($),Elastic Container Service($),CodeArtifact($),IoT($),CodeCommit($),Migration Hub Refactor Spaces($),Location Service($),Refund($),Total costs($)
10,2023-04-10,577.835939066,,359.4540896357,34.7349076795,776.084110465,,0.1550424739,570.8461660647,44.7438501424,216.245977955,197.5339296132,75.2771655765,62.3350454308,70.5981601104,45.8745973683,165.2684528252,390.085447275,35.9390773831,34.4965820048,36.112830024,20.527425,20.088,6.5098433541,79.1766108703,21.1,42.4327999992,24.5334459163,13.4823109295,3.0150486944,28.1610468274,5.831222388,0.497647034,1.4438959905,1.09137e-05,1.3912756946,2.2310067696,1.4106290053,,0.2705717188,0.9879855,0.49908915,2.4,6.696,,0.0,2.139e-05,0.5275128896,,,,,,,,,,,,4.4e-09,3.04e-08,,,,,,3976.8347711636
11,2023-04-11,458.5179319567,,359.6686174998,34.6631186485,793.1926514108,,0.1322160857,549.8276668872,43.8532790888,218.9357281484,205.3439465477,77.4290382308,62.3350089532,70.5981601064,46.0540244257,165.2684528313,397.103148225,36.3471885866,34.4945929849,35.109360024,20.4693,20.088,6.4940447421,66.096288209,21.12,42.4327999992,24.4619446479,13.4775423403,3.0171714807,30.5092160077,5.629959228,0.2586113305,1.4607601333,9.8976e-06,1.4069597036,1.6248374196,1.3520010049,,0.2623158344,1.01280255,0.53014185,2.4,6.696,,0.0,1.674e-05,0.6910420282,,,,,,,,,,,,1.2121e-06,8.8e-09,,,,,,3860.3658970094
12,2023-04-12,382.7393451222,,359.7817504376,35.0107464861,736.237002673,,0.2690075875,519.6864984078,44.0587917348,216.7814450528,189.2668540261,74.0127554013,62.3349855882,70.5981601056,44.0913795416,165.2684529097,357.067602405,36.3790851662,34.729102691,34.272360024,20.8982625,20.088,6.519361706,57.4384221125,21.12,42.4327999992,24.3586685375,13.4608945481,3.0192126069,26.1829484177,5.628428448,2.7803796772,1.4921093759,7.422e-06,1.4173317551,1.3972180596,1.3361248856,,0.3648916504,1.0444323673,1.1425422,2.4,6.696,,,1.488e-05,0.4302357405,,,,,,,,,,,,1.19e-08,1.6e-09,,,,,,3624.2336122635
13,2023-04-13,395.8437205593,,360.5632863528,31.6439813531,723.8680003369,,0.2043644376,515.2820355012,43.8206941089,213.3137290251,202.5937253185,79.5819464165,62.3349490224,70.598160095,43.6668469068,157.9695019532,355.13373576,36.0190917079,34.6549016503,33.714360024,18.779025,20.088,25.6185442399,55.9597356312,21.12,42.4327999992,24.2974766147,13.3455797679,3.022715859,31.8912416615,5.643551364,0.6682648824,4.7964668255,1.58106e-05,1.4317788946,1.4093043396,1.3072705671,,0.2363238784,1.0123861174,1.51704855,2.4,6.696,,,3.162e-05,1.6077131184,,,,,,,,,,,,9.8e-09,,,,,,,3646.0883052807
14,2023-04-14,370.7705095824,,393.5777066264,24.807210629,666.3153497945,,0.152222974,485.8568397792,43.5439936638,202.2049761654,187.081755981,85.5192363213,62.3348699598,70.5981600989,36.2014446827,147.7509709798,336.18021672,35.5495541264,34.6627526129,30.924360024,17.5014375,20.088,6.6123435221,60.9076918129,21.12,42.4327999992,24.0054336175,13.4587605339,3.0251347687,29.9001147571,5.64674238,0.2380338793,1.3806943879,2.96392e-05,1.4281551804,1.4120385396,1.22964671,,0.2514065629,0.9452690508,0.20763645,2.4,6.696,,,5.673e-05,0.4326552416,,,,,,,,,,,,1.17e-08,,,,,,,3475.3522119963
15,2023-04-15,381.5673230948,,427.3696393475,29.3620334596,710.5868350014,,0.1135858138,269.095905015,44.0313535774,207.147400718,189.4749653318,70.4982807845,62.3348633998,70.598160097,42.0155913895,147.7509739286,357.9867786,35.7444630072,34.6494503068,30.924360024,17.430525,20.088,6.6702702364,57.5842377424,21.12,42.4327999992,24.0692729629,13.3403644086,3.0258744129,30.4309715965,5.755977204,1.2373650362,1.3796217425,2.86506e-05,1.4325189624,1.4770008996,1.2479596948,,0.214101191,0.9726761508,0.2485146,2.4,6.696,,,5.766e-05,1.1407850053,,,,,,,,,,,,6.4e-09,,,,,,,3371.6468860592
16,2023-04-16,384.7194588294,,427.6563047896,25.7170333591,666.864697319,,0.0566576434,462.2643167523,43.8404310258,191.603107283,191.9803505475,57.6294598041,62.3348725098,70.5981600961,35.6106281995,147.7509745966,351.749780565,35.5576360668,34.6505742106,31.203360024,15.0904125,20.088,12.8130554368,76.047281551,21.12,42.4327999992,23.8777156708,13.6615510647,3.0255171455,23.1521445952,5.611081344,0.2011952867,2.4233193833,2.86478e-05,1.4325189624,1.3821129996,1.186774601,,0.1699695925,1.0660342008,0.1726638,2.4,6.696,,,5.487e-05,0.1817811653,,,,,,,,,,,,1.09e-06,,,,,,,3496.0198175282
17,2023-04-17,579.3317220845,,410.6688947574,31.9148894496,749.2168769731,,0.0584085428,602.3465072055,43.9506525828,208.7927574063,190.195051636,68.6064709758,62.3348713864,70.5981600943,42.2361125147,147.7509700758,383.802784845,35.543701763,34.5920622121,34.551360024,17.0841,20.088,13.0705385954,55.7718073835,21.12,42.422301603,24.2395373787,13.5402946235,3.0264800376,27.9384979359,5.609594832,0.5773282498,2.4919696632,2.76592e-05,1.4325189624,2.0760445896,1.3870916074,,0.2158791292,1.0701437674,1.9959009,2.4,6.696,,0.0,6.324e-05,0.6996608317,,,,,0.0,,,,,,,7.1e-09,,,0.0,,,,3961.4460355257
18,2023-04-18,617.3750638704,,382.8484459955,31.7497917024,856.5988462513,,0.0935843856,541.7765460963,44.2209825641,209.5257069787,191.4846684153,70.4429839089,62.3348732318,70.5981600984,42.0201920188,147.7509700881,454.548436335,35.7825412666,34.5935747838,33.094359986,19.950825,20.088,50.9998294889,82.4741577752,21.12,42.4201696088,24.5592159485,13.5840129996,3.0278538149,28.6431537003,5.622950004,5.2627542615,9.0966093961,2.75572e-05,1.4335393144,2.0454661896,1.3174621431,,0.2878722737,1.0096204008,1.62902055,2.4,6.696,,,6.975e-05,0.8278832283,,,,,,,,,,,0.0,5.5e-09,,,,,,,4171.3362213874
19,2023-04-19,465.475751665,,370.0063106436,29.2621243548,825.4864322159,,0.1325521489,537.8911350315,43.9556242899,211.1990829749,192.4274866393,69.1555378195,62.3349164022,70.5981600964,42.1714204761,114.3719524425,426.74779242,35.7924226422,34.6047088234,33.900359976,18.9778125,20.088,33.1457690398,61.3641514046,21.12,42.4278373179,24.5426625094,13.817874304,3.02986599,28.9675887757,5.629301904,0.5128473369,6.0241645416,2.65975e-05,1.435045992,1.4315183196,1.3150418107,,0.2664741601,0.9203305841,4.5815985,2.4,6.696,,0.0,5.487e-05,0.9042114217,,,,,,,,,,,0.0,8.5e-09,,,,,,,3865.1119489502
20,2023-04-20,430.0932494481,,379.4565097816,34.2491583833,796.0358200454,,0.1367104579,530.248579404,45.5405347859,209.7471590295,188.5863122944,99.8179668031,62.3350065126,76.0386600902,42.4013085946,100.5255686868,400.02999075,35.9119791385,34.6152947196,35.853359976,19.6915875,20.088,26.7934813704,66.5032794357,21.12,42.4327999992,24.5314384935,13.9729300785,3.0320107936,32.3998210878,5.630170152,0.483355206,5.0230736113,2.6672e-05,1.4353010441,1.4577526896,1.3022336748,,0.2501858894,0.9479887841,1.08738855,2.4,6.696,,0.0,6.975e-05,0.9327727509,,,,,,,,,,,,4.5e-09,,,,,,,3799.8348364389
21,2023-04-21,429.7306111385,,378.8478946891,31.9533479256,796.4737050896,,0.1464057266,520.3304074089,45.4814173371,208.5491866442,185.9542619519,70.8615635231,62.3350401489,74.5274100899,41.5315483646,100.5255687112,405.368298165,36.3614753891,34.4978290696,31.575359976,20.0008125,20.088,32.6598421727,60.0231378661,21.12,42.4327999992,24.5401091619,13.8924269251,3.0342826989,31.6935933942,5.6328612,0.5232908286,6.0644766599,2.76592e-05,1.4365642787,1.4575797096,1.29126529,,0.1324610184,0.9481567008,1.08339885,2.4,6.696,,0.0,7.347e-05,0.6678119841,,,,,,,3.627e-05,,,,,1.05e-08,,,,,,,3752.8703399968
22,2023-04-22,402.9203315634,,378.0901904071,26.8863074524,730.8256483162,,0.1262613588,492.16887771,44.6921252533,195.848315822,190.0025433485,57.3591192894,62.3350255416,71.5049100909,35.0439773553,100.5255687605,386.74807485,35.3490401877,42.8240754021,30.552359976,16.4923875,20.088,13.5267290043,79.7453362657,21.12,42.4327999992,24.3462555424,13.6667221217,3.0346831768,28.1762876449,5.646156852,0.2554620486,2.7088820741,2.56872e-05,1.4384429038,1.4011352196,1.2168339884,,0.207433858,0.9398192508,0.1086891,2.4,6.696,,,5.115e-05,0.7540374096,,,,,,,,,,,,2.1e-09,,,,,,,3570.2049234844
23,2023-04-23,395.6105708081,,375.8836275042,26.5604340995,704.7689759376,,0.0982336611,480.5174282961,44.769098092,183.964443942,195.7777225937,56.3323555569,62.3350178657,70.5981600912,34.632897851,100.5255687112,381.42335892,35.0482812853,23.4518508429,30.552359976,19.755525,20.088,6.8010701282,40.9991233772,21.12,42.4327999992,24.3150418613,13.5449255074,3.0359298816,22.5839059592,5.659928292,0.1755950072,1.5185660819,2.61812e-05,1.4405464681,1.3965372996,1.1720662295,,0.1128884684,0.9365828508,0.10636875,2.4,6.696,,0.0,4.371e-05,0.1176196837,,,,,,,,,,,,2.7e-09,,,,,,,3439.2594767737
24,2023-04-24,452.1708342494,,373.4798003955,31.4651872345,756.6091026028,,0.1699866182,531.7927377795,44.1039639087,206.2131873379,191.2061145419,70.2138287751,62.3350381083,70.5981600932,42.7223703767,100.5255687039,393.31234872,34.9673751972,23.4394553495,33.249359976,23.0442375,20.088,32.6883368958,60.228903367,21.12,42.4327999992,24.4924036767,14.5938114904,3.0380389063,26.6073635508,5.640670968,0.2980935877,6.0306507231,2.41047e-05,1.4477468779,1.4608805904,1.3197935385,,0.2649206702,0.9443204508,1.88739315,2.4,3.4512448791,,0.0,5.301e-05,0.8018436253,,,,,,,,,,,,9.6e-09,,,,,,,3712.8559515398
25,2023-04-25,384.5757955123,,373.3051004679,29.8614615055,376.5762751792,,0.1333554485,588.0882275133,44.3894869167,209.5918903746,190.8122166499,70.2095409374,62.3350370806,70.5981600956,42.9564482705,100.5255690737,106.793201535,35.3304562721,23.7807366023,31.110359976,23.4046125,20.088,6.818064289,71.0564450261,21.12,42.4327999992,24.5286374907,17.7918673661,3.0395148416,30.7843556449,5.653702872,2.1190631083,1.4805177147,2.41018e-05,1.4548773544,1.5359455404,1.327842875,,0.2087075807,0.9390886841,0.8783571,2.4,,,0.0,9.114e-05,0.5651248447,,,,,,,,,,,,-3.24e-08,,,,,,,3020.6009594524
26,2023-04-26,418.6373562392,,373.10493337,30.6920525462,235.1284734386,,0.1442257078,527.466358854,45.8175342071,208.1491947328,190.1968667874,71.8847145375,62.3350371777,70.598160098,41.7897244136,100.5255694553,19.17552492,35.4411647547,23.5923482867,31.110359976,22.4037,20.088,13.3143479626,64.0082094036,21.12,42.4327999992,24.495155258,14.4684076659,3.0409477506,30.3582933123,5.661659952,0.2317882375,2.5985771346,2.42e-05,1.4698430047,1.5209855604,1.3509711487,,0.1738845517,0.9391915008,3.8696277,2.4,,,,4.65e-05,1.3461980333,,,,,,,,,,,0.0,-8.57e-08,,,,,,,2763.0822582928
27,2023-04-27,375.0014145897,,361.9551324203,28.6726673322,217.7994328126,,0.1188277228,509.3741163015,45.04570235,206.8775632131,186.802257582,88.1114483111,62.3350656939,76.3409100965,41.5767418776,100.5255694664,15.57161961,35.4528632072,23.4944362074,31.097339976,21.080775,20.088,23.5423788936,72.4359035994,21.12,42.4327999992,24.47989116,13.6462958357,3.0421592735,30.9848960733,5.65854594,0.2194782143,4.3651495848,2.27275e-05,1.4778256012,1.3978098504,1.3699712107,,0.3505208039,0.9201724841,0.3346605,2.4,,,,4.65e-05,0.8172354333,,,,,,,,,,,0.0,-8.54e-08,,,,,,,2698.3176473698
28,2023-04-28,378.019509434,,357.726620716,30.6900705778,226.6366102329,,0.0981765625,517.8106813956,45.2236843222,213.8317944939,187.5133270933,78.8718524477,62.3349936567,77.852160096,42.04400659,100.5255692926,13.20527553,35.655745489,23.2805151337,31.809719976,18.3384375,20.088,19.8334756378,59.7364458828,21.12,42.4327999992,21.1012423929,15.0002513407,3.0445586209,34.820745905,5.75020116,2.6788277925,3.6779051726,2.6682e-05,1.4883189942,1.3987054404,1.3999129707,,0.4201381595,0.9150378507,0.29837655,2.4,,,0.0,6.696e-05,1.1858234278,,,,,,,,,,,0.0,1.8276e-06,,,,,,,2700.2596133072
29,2023-04-29,343.084617807,,356.6228161797,26.029566349,210.3688066346,,0.1429372561,543.3580361133,44.9146653848,203.6782866257,186.8919412936,73.4042856144,62.3349921252,77.852160098,41.3861804061,100.5255691757,13.003076325,33.388257244,23.266407869,30.786719976,20.992425,20.088,19.9434552756,71.0334105628,21.12,42.4327999992,20.0709565431,14.3268684144,3.0476317636,30.8242913661,5.660555856,0.214568966,3.712279521,4.4472e-06,1.4905434024,1.4090702904,1.4422200215,,0.3997070481,0.9075296508,0.10619205,2.4,,,,8.37e-06,0.902690846,,,,,,,,,,,,-8.89e-08,,,,,,,2653.5645317825
30,2023-04-30,339.6332823174,,356.5910916121,24.5219174331,185.8041846692,,0.1170880213,518.2365206859,44.8670699643,193.9815905644,193.990224656,64.2777546034,62.3350052172,77.8521600984,35.6277391441,100.525569472,12.558115035,35.1146579356,23.2854748987,30.507719976,19.1056875,20.088,19.7199363102,24.8293557342,21.12,42.4327999992,18.9226574164,14.2102804871,3.0481267681,23.9424279331,5.641378512,0.172234511,3.6410218136,2.65777e-05,1.4905434024,1.3773117204,1.2458500878,,0.303522194,0.9051302508,0.2642037,2.4,,,,5.022e-05,0.1087041538,,,,,,,,,,,,-9.39e-08,,,,,,,2524.796415502
31,2023-05-01,659.0028296055,23683.32,354.7054743363,485.4798025426,208.5594605229,8546.5393101628,520.0071684796,504.1649999016,4829.7599759333,214.1569824213,201.0425836401,70.8071950574,62.1329488229,77.852160096,42.4275953533,100.4594521595,10.59595128,34.2553470007,22.4491119717,36.9637200096,22.5536625,20.088,0.0022206822,54.3691445382,21.12,42.432,3.3482137494,7.830127343,2.9501229657,27.4283145686,5.643530904,0.1884575694,0.051625324,8.402e-06,1.4442529744,1.36359705,1.3597313943,,0.0152373272,0.8883438,0.28211085,2.4,,,0.0,1.581e-05,0.1737472225,,,,,,,,,,,,-9.16e-08,,,,,,-598.26,40282.3545341804
32,2023-05-02,683.4307136754,,354.7678062866,510.4103753029,242.1428261766,,554.2363596855,533.5050593595,43.2436161979,225.2518634272,201.546203033,82.3692759495,62.1328156073,73.6206600974,48.5674403075,100.4594515124,16.41033081,35.4303131307,22.4698592678,37.0567200096,23.3697375,20.088,42.1003109549,72.2152943008,21.12,42.432,18.8215148553,14.6508976533,2.9515220769,30.2222362891,5.645663952,1.0702150119,6.0516373273,9.874e-07,1.4475258,1.37164341,1.4251558041,,0.0034000451,0.91458375,0.1737147,2.4,,,0.0,7.44e-06,1.1627207891,,,,,,,,,,,,-9.12e-08,,,0.0,,,,4136.6894723928
33,2023-05-03,656.3342929959,,355.1007648214,496.5094931123,225.3525219102,,475.4025449309,613.6328432229,45.0026675957,220.7810333531,203.9086639086,76.8060148783,62.1327429517,70.5981600984,45.6178719649,100.4594511808,12.70122483,35.2898491035,22.5124963293,34.4527200096,23.0977125,20.088,42.0405096777,63.1139746159,21.12,42.432,18.7294667479,14.456556608,2.9547586776,39.3215507596,5.6455371,4.7663967886,6.1876860002,1.87809e-05,1.4531948163,1.38822717,1.4304882786,,0.0008449438,1.00464605,1.2091581,2.4,,,0.0,4.929e-05,0.6205045346,,,,,,,,,,,0.0,-1.033e-07,,,0.0,,,,4066.0566385339
34,2023-05-04,659.9112152042,,355.6389346106,497.5496182616,227.8701861533,,502.3954130887,750.4683100716,47.9421847992,315.1649736947,210.5982015332,75.7025148939,62.1327351561,70.5981600984,44.867282888,92.0878315114,9.294027075,36.51829303,22.815131295,35.9407200096,23.5813125,20.088,25.3299286957,78.1535401276,21.12,42.432,18.7085519326,14.2180659426,2.9594149639,36.9414707778,5.645921376,6.9687150841,3.9057409364,1.87703e-05,1.4596898759,1.39771038,1.4505737386,,0.0081708731,1.02313335,0.3989793,2.4,,,0.0,4.278e-05,1.0865616155,,,,,,,,,,,,-1.057e-07,,,,,,,4326.7732762889
35,2023-05-05,646.0203398092,,356.1499494892,491.6445463785,222.6506199557,,469.325491697,516.7187138139,44.0203043203,317.6566892756,204.3694574025,76.2209195608,62.1327286316,70.5981600984,44.7687368118,100.4594513179,9.00440973,35.2749402757,22.6333313017,33.6157200096,20.0635875,20.088,25.8206565511,32.4112665992,21.12,42.432,18.7064658266,13.9183845823,2.9656060753,30.3291929884,5.646005448,0.2276553713,3.9277133726,1.61397e-05,1.4624642204,1.36002306,1.3328541474,,0.0065737005,0.9459015,0.2801439,2.4,,,0.0,4.185e-05,0.8612154095,,,,,0.0,,,,,,,-1.063e-07,,,,,,,3969.5702780154
36,2023-05-06,588.364503646,,356.530219093,489.3525099482,212.6975840173,,406.5501112203,439.6613219838,42.9426683667,222.0344376066,203.5878854035,72.4782768436,62.1327191986,70.5981600984,45.0321797554,100.459451411,7.63801281,35.5179386441,22.6433009584,30.6397200096,22.5141375,20.088,16.9619631468,61.9098122446,21.12,42.432,18.7847265074,13.7620627319,2.973129249,29.2264276556,5.646271056,0.2164968823,2.7319433886,8.4945e-06,1.4633186795,1.34806512,1.2834709671,,0.1274190752,0.909492,0.135501,2.4,,,,3.72e-06,0.6311937928,,,,,0.0,,,,,,0.0,-1.08e-07,,,,,,,3675.5264441178
37,2023-05-07,557.2273829998,,356.8118034353,485.8480293376,176.3534975484,,342.7502971011,422.1958259148,42.8410769536,203.8675844709,204.0509070268,63.6788458768,62.1327167079,70.5981600962,36.1354501843,100.4594488795,6.16965255,35.777433825,22.5793657515,30.6397200096,16.263375,20.088,8.3455518007,84.8281537575,21.08,42.432,18.5221495133,13.4615752972,2.9746259803,24.8050258062,5.64603372,0.1798562095,1.4923728914,3.09999e-05,1.4659669248,1.34191596,1.2090872034,,0.0065686886,1.03018275,0.11845875,2.4,,,,6.882e-05,0.313059187,,,,,0.0,,,,,,,-1.104e-07,,,,,,,3488.1212578185
