,Service,S3($),Tax($),Relational Database Service($),EC2-Other($),CloudWatch($),Support (Business)($),EC2-Instances($),Glue($),Redshift($),DocumentDB (with MongoDB compatibility)($),Elastic MapReduce($),VPC($),OpenSearch Service($),ElastiCache($),Elastic Load Balancing($),DMS($),CloudTrail($),Managed Streaming for Apache Kafka($),Elastic File System($),QuickSight($),Rekognition($),Elastic Container Service for Kubernetes($),SNS($),Glacier($),Hardened Red Hat Enterprise 7 (RHEL 7)($),SageMaker($),DynamoDB($),Lambda($),Backup($),Kinesis($),Route 53($),AppFlow($),SQS($),Step Functions($),EC2 Container Registry (ECR)($),Key Management Service($),API Gateway($),Managed Workflows for Apache Airflow($),CloudFront($),Secrets Manager($),Athena($),CIS  Linux 2 Benchmark - Level 2($),Transfer Family($),Config($),Cognito($),CloudWatch Events($),Kinesis Firehose($),Cost Explorer($),RHEL 8 with Support by Supported Images($),X-Ray($),Direct Connect($),Service Catalog($),SES($),Systems Manager($),Textract($),Red Hat Enterprise Linux (RHEL) 8.4 with support by ProComputers($),Simple Workflow Service($),CloudShell($),Elastic Container Service($),CodeArtifact($),IoT($),CodeCommit($),Migration Hub Refactor Spaces($),Location Service($),Refund($),Total costs($)
0,Service total,287125.0549431261,271582.16,191578.3427921169,154821.2129169876,108280.8978276362,105603.3751336462,95703.7569592366,95221.0494115085,92802.0852548557,74022.5887590093,60439.167893131,30213.2569528627,25320.1677325924,21531.2301564772,21287.6491268104,19391.1511678154,17264.63841504,16449.631648372,14805.3147374088,14595.0786245181,12158.00253186,8616.7798264632,8124.2897636254,7990.5166054463,7238.96,6131.8613039278,5241.535295351,4640.4442841363,3492.4948393597,2473.7553557323,2252.1650295059,2086.2211618224,1590.2122743444,961.9635046406,842.098510216,747.8220292069,492.1712425495,466.9982431032,426.5904784215,350.369345484,227.2886427,212.9,157.4592448791,90.454218,52.3105935,35.0568566082,29.5288427751,28.9323,14.21,12.03339927,2.9839230473,1.915242,0.7696015349,0.72336888,0.68355,0.2,0.0002819719,9.54535e-05,2.63057e-05,7.8989e-06,7.228e-06,0.0,0.0,0.0,-7392.23,1787838.2822804002
1,2023-04-01,428.0122480919,21142.42,351.0188356162,30.2244493952,736.4515539477,10022.8467997732,0.1667064252,262.1101442547,4674.8379936436,158.1372324606,171.7328367783,75.9531657036,62.3349962162,70.5981601128,39.2381680241,138.93642,366.81176064,35.7561903389,34.4144400449,29.949720012,18.5662875,20.088,16.5406444112,35.4136054079,21.12,42.4327999992,11.5036387725,6.9876422998,3.0040015531,26.1423649521,5.951489988,0.9227320214,2.4160367597,2.46936e-05,1.3569180479,1.3375018275,1.3319637235,,0.000317847,0.9689638992,0.5107932,2.4,6.696,1.42755,0.0,4.743e-05,0.5050664277,,,,,,,,,,,,3.404e-07,5.28e-08,,,,,-701.6,38357.9762126336
2,2023-04-02,476.117375801,,351.1865854647,30.8830210496,747.3157022955,,0.1604130763,437.09741832,43.0874990714,151.0442336892,176.204557212,100.0896276237,62.3349722084,70.5981601122,38.1800893005,138.9364405635,389.19016929,38.1744227365,34.4156534366,29.391720012,17.12595,20.088,34.257067676,52.7701322782,21.12,42.4327999992,23.9887046197,13.2266237185,3.0067343976,22.4066176218,6.004978752,0.1714950881,5.0395981047,2.86478e-05,1.3461568488,1.340825958,1.2500495611,,0.0050776607,1.0776901992,0.63431115,2.4,6.696,,,5.208e-05,0.1846073095,,,,,,,,,,,,3.5e-09,5.28e-08,,,,,,3590.9815629903
3,2023-04-03,872.7829563784,,351.415108399,34.7421906208,808.0779814956,,2.9234930318,492.6877736187,45.4120066053,159.6719990079,184.7965492237,78.2808357006,62.3349396065,70.5981601104,43.4480508855,138.9364341383,391.551019395,34.2317039783,34.4759893969,33.297720012,21.099375,20.088,8.00520002,68.418539885,21.12,42.4325176874,24.3149524507,13.5519187762,3.0092649641,26.573932158,5.962722156,0.184152361,1.3897429962,2.7662e-05,1.3479535946,1.930224618,1.3876335901,,0.0044331683,1.0940855831,1.42255125,2.4,6.696,,0.0,5.208e-05,0.7686552847,,,,,,,,,,,,7.9e-09,5.28e-08,,,,,,4112.8668469508
4,2023-04-04,584.4881010318,,384.4536210772,31.8563213482,707.8705503054,,0.1749822798,721.2310302054,45.4137688072,157.968457974,181.7996772258,74.7596223564,62.3349510482,70.5981601118,41.3020459894,153.5839359361,336.89858313,34.3246839625,34.4600487269,29.949720012,20.671575,20.088,8.7497559639,71.049490829,21.12,42.4327999992,24.1002466976,13.3102540516,3.0099592846,28.0262126189,6.032752644,2.8054031977,1.4262396685,2.46976e-05,1.3505924802,2.043183348,1.3407608534,,0.0051794017,1.0724150333,1.09535865,2.4,6.696,,0.0,5.022e-05,0.844673181,,,,,,,,,,,0.0,9.7e-09,5.28e-08,,0.0,,,,3933.1391894108
5,2023-04-05,559.4033082978,,394.8268682601,41.8900719062,755.6694723316,,0.2218867325,505.3231399221,44.4007158435,162.3956879825,183.2336982498,81.3015257566,62.3349511847,70.5981601104,46.0524889103,162.3724341518,370.069840335,40.1601928054,34.4860786416,34.5067200217,19.876425,20.088,16.0459250249,68.1361789554,21.12,42.4327999992,24.2346632271,13.5332470772,3.010059399,30.1720418711,6.06302712,2.159810257,2.4246765058,2.12431e-05,1.3701798683,1.838561958,1.3485927481,,0.00060741,1.0921455,0.7570572,2.4,6.696,,,4.092e-05,0.6251802465,,,,,,,,,,,,7.8e-09,4.4e-08,,,,,,3834.6724830261
6,2023-04-06,410.0852986831,,395.4631647398,40.7655929249,768.1578780623,,0.8122337092,478.9519052631,44.7377916432,157.068592305,183.4450383426,77.9874350682,62.3349144209,70.5981601104,43.8035240863,163.3377770148,382.34371203,37.4237890622,34.505999679,35.343720024,19.815975,20.088,23.9082955723,58.4350416699,21.12,42.4327999992,24.0339012403,13.3114972682,3.0104213615,35.3399613464,6.06326334,4.2870580176,3.581612036,1.82829e-05,1.3855464013,1.326290058,1.3559548237,,0.0017977714,1.0936707,1.2871665,2.4,6.696,,0.0,3.441e-05,1.442988628,,,,,,,,,,6.8e-08,,2.198e-07,4.26e-08,,,,,,3679.5838219261
7,2023-04-07,385.1504950568,,373.4995152576,34.7975590618,742.0308566639,,0.7482860911,456.1288014984,43.5724522512,163.998202383,185.9640461357,67.2528807785,62.3349165557,70.5981601104,39.0016007134,165.2684565258,374.75472231,36.1647653172,34.5169067578,30.879720024,19.5567375,20.088,16.8224329886,28.2622216256,21.12,42.4327999992,23.9662122487,13.2656085961,3.0117078165,29.2498290388,6.0745476752,0.1925658708,2.5819856959,1.68056e-05,1.3861161535,1.335240378,1.2824268163,,0.0007624183,1.08385455,0.1242108,2.4,6.696,,,3.255e-05,0.5686557152,,,,,,,,,,,,5.2e-09,4.44e-08,,,,,,3508.1643087842
8,2023-04-08,359.5577315788,,356.5624576835,29.7893956251,647.863220794,,0.20411897,231.0706950714,43.6333650535,199.6481147115,182.9548993782,63.600500344,62.3349508505,70.5981601104,35.827658228,165.2684564894,328.300745685,36.1431496855,34.4974150898,30.879720024,19.61835,20.088,8.1611460242,87.7023816151,21.12,42.4327999992,23.8443321204,13.2254364663,3.0113598553,28.9037138456,6.0956226703,0.2022377257,1.3185096279,1.38468e-05,1.3863640512,1.339947108,1.2579166414,,0.3000115783,1.0696302,0.10552245,2.4,6.696,,0.0,2.883e-05,0.5750653497,,,,,,,,,,,,5.5e-09,3.7e-08,,,,,,3169.5891454205
9,2023-04-09,351.9001313485,,359.0121939648,25.159436258,607.5368319724,,0.1520558497,214.3229730675,44.133231241,190.3625645374,186.5422535031,59.3269517571,62.3349915049,70.5981601104,35.1558161436,165.2684527931,311.70119475,35.6553574862,34.488948245,30.879720024,17.077125,20.088,6.4553873636,53.4891739804,21.08,42.4327999992,23.8284116031,13.284380616,3.0126138447,23.3454524316,6.09318888,3.9597963015,1.3864290981,1.2861e-05,1.3863640512,1.3731989496,1.2082170753,,0.2194760701,0.95376615,0.12926535,2.4,6.696,,,2.418e-05,0.3146951058,,,,,,,,,,,0.0,3.3e-09,4.31e-08,,,,,,3034.7450435143
